"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Basalt","text_Diorite","time_resp","text_Gabbro","text_Peridotite","time_fb1","time_fb2","text_Andesite","text_Pegmatite"
"1493","758","true","chrome","130.0.0","false","Windows 10","true","146.41","true","true","browser-check","0","2.0.0","418","60bae1ebe45be85442acce84","3","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","44625","60bae1ebe45be85442acce84","3","19","44129","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","48074","60bae1ebe45be85442acce84","3","19","2444","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","48076","60bae1ebe45be85442acce84","3","19","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","49610","60bae1ebe45be85442acce84","3","19","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","96218","60bae1ebe45be85442acce84","3","19","46603","","","","","","","","[{""page_index"":0,""viewing_time"":13053},{""page_index"":1,""viewing_time"":21436},{""page_index"":2,""viewing_time"":12114}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","98974","60bae1ebe45be85442acce84","3","19","2753","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","109475","60bae1ebe45be85442acce84","3","19","10497","","","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Peridotite","08","false","2","7","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","109988","60bae1ebe45be85442acce84","3","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","114890","60bae1ebe45be85442acce84","3","19","4900","","","","","","","","","<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Obsidian","08","true","5","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","115407","60bae1ebe45be85442acce84","3","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","121684","60bae1ebe45be85442acce84","3","19","6275","","","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","7","class_response","0","test","3","Pumice","Pumice","05","true","8","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","122187","60bae1ebe45be85442acce84","3","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","126244","60bae1ebe45be85442acce84","3","19","4055","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","1","class_response","0","test","4","Basalt","Diorite","12","false","2","3","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","126747","60bae1ebe45be85442acce84","3","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","137667","60bae1ebe45be85442acce84","3","19","10919","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","5","class_response","0","test","5","Pegmatite","Pegmatite","13","true","6","6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","138173","60bae1ebe45be85442acce84","3","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","141818","60bae1ebe45be85442acce84","3","19","3643","","","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","6","class_response","0","test","6","Peridotite","Pegmatite","03","false","7","6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","142329","60bae1ebe45be85442acce84","3","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","147691","60bae1ebe45be85442acce84","3","19","5360","","","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","7","class_response","0","test","7","Pumice","Pumice","02","true","8","8","","","","","","","","","","","","","","","",""
