"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1366","901","true","crios","131.0.6778","true","iOS","true","57.14","true","true","browser-check","0","2.0.0","1055","5a0bf53d728b1b0001ad95ad","2","41","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","4478","5a0bf53d728b1b0001ad95ad","2","41","3307","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","6948","5a0bf53d728b1b0001ad95ad","2","41","1460","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","6953","5a0bf53d728b1b0001ad95ad","2","41","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","9942","5a0bf53d728b1b0001ad95ad","2","41","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","26697","5a0bf53d728b1b0001ad95ad","2","41","16754","","","","","","","","[{""page_index"":0,""viewing_time"":3832},{""page_index"":1,""viewing_time"":6979},{""page_index"":2,""viewing_time"":5943}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","28241","5a0bf53d728b1b0001ad95ad","2","41","1541","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","31346","5a0bf53d728b1b0001ad95ad","2","41","3101","","","","","","","","","<img src= ""rock_img/I_Gabbro_13.jpg"" style=""width:8cm; height:5.08cm;""><p>What type of rock is this?</p>","2","class_response","0","test","1","Diorite","Gabbro","13","false","3","4","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","31851","5a0bf53d728b1b0001ad95ad","2","41","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","33585","5a0bf53d728b1b0001ad95ad","2","41","1730","","","","","","","","","<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Obsidian","08","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","34088","5a0bf53d728b1b0001ad95ad","2","41","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","35252","5a0bf53d728b1b0001ad95ad","2","41","1160","","","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","0","test","3","Obsidian","Obsidian","02","true","5","5","",""
