"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1280","631","true","firefox","132.0.0","false","Mac OS","true","60.42","true","true","browser-check","0","2.0.0","1012","5a6032228e625900017657f4","2","8","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","5833","5a6032228e625900017657f4","2","8","4716","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","8606","5a6032228e625900017657f4","2","8","1762","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","8610","5a6032228e625900017657f4","2","8","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","13325","5a6032228e625900017657f4","2","8","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","56359","5a6032228e625900017657f4","2","8","43031","","","","","","","","[{""page_index"":0,""viewing_time"":4380},{""page_index"":1,""viewing_time"":9312},{""page_index"":2,""viewing_time"":29339}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","58046","5a6032228e625900017657f4","2","8","1683","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","61001","5a6032228e625900017657f4","2","8","2953","","","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","2","class_response","0","test","1","Diorite","Pegmatite","16","false","3","6","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","61504","5a6032228e625900017657f4","2","8","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","65021","5a6032228e625900017657f4","2","8","3515","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","5","class_response","0","test","2","Pegmatite","Andesite","04","false","6","1","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","65529","5a6032228e625900017657f4","2","8","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","68528","5a6032228e625900017657f4","2","8","2997","","","","","","","","","<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>","6","class_response","0","test","3","Peridotite","Andesite","07","false","7","1","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","69036","5a6032228e625900017657f4","2","8","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","71215","5a6032228e625900017657f4","2","8","2177","","","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","4","Pumice","Peridotite","10","false","8","7","",""
