"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1280","593","true","chrome","130.0.0","false","Windows 10","true","60.39","true","true","browser-check","0","2.0.0","1007","5f9b96ecd60b7a3d0c62e917","2","35","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","6824","5f9b96ecd60b7a3d0c62e917","2","35","5754","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","9478","5f9b96ecd60b7a3d0c62e917","2","35","1645","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","9480","5f9b96ecd60b7a3d0c62e917","2","35","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","11525","5f9b96ecd60b7a3d0c62e917","2","35","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","21743","5f9b96ecd60b7a3d0c62e917","2","35","10217","","","","","","","","[{""page_index"":0,""viewing_time"":2503},{""page_index"":1,""viewing_time"":3739},{""page_index"":2,""viewing_time"":3974}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","23485","5f9b96ecd60b7a3d0c62e917","2","35","1740","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","26605","5f9b96ecd60b7a3d0c62e917","2","35","3118","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","6","class_response","0","test","1","Peridotite","Andesite","04","false","7","1","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","27122","5f9b96ecd60b7a3d0c62e917","2","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","28635","5f9b96ecd60b7a3d0c62e917","2","35","1511","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Gabbro","01","false","5","4","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","29150","5f9b96ecd60b7a3d0c62e917","2","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","30173","5f9b96ecd60b7a3d0c62e917","2","35","1021","","","","","","","","","<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","5","class_response","0","test","3","Pegmatite","Pegmatite","07","true","6","6","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","30680","5f9b96ecd60b7a3d0c62e917","2","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","31858","5f9b96ecd60b7a3d0c62e917","2","35","1177","","","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","0","class_response","0","test","4","Andesite","Diorite","14","false","1","3","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","32368","5f9b96ecd60b7a3d0c62e917","2","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
