"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1054","632","true","chrome","131.0.0","false","Windows 10","true","60.7","false","false","browser-check","0","2.0.0","1013","5ffd2c0699c3912436845113","2","15","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","13238","5ffd2c0699c3912436845113","2","15","12155","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","24017","5ffd2c0699c3912436845113","2","15","9764","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","24018","5ffd2c0699c3912436845113","2","15","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","25999","5ffd2c0699c3912436845113","2","15","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","78234","5ffd2c0699c3912436845113","2","15","52234","","","","","","","","[{""page_index"":0,""viewing_time"":25760},{""page_index"":1,""viewing_time"":15692},{""page_index"":2,""viewing_time"":10782}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","98940","5ffd2c0699c3912436845113","2","15","20705","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","117610","5ffd2c0699c3912436845113","2","15","18669","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","6","class_response","0","test","1","Peridotite","Diorite","08","false","7","3","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","118113","5ffd2c0699c3912436845113","2","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","129354","5ffd2c0699c3912436845113","2","15","11240","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","3","class_response","0","test","2","Gabbro","Andesite","04","false","4","1","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","129864","5ffd2c0699c3912436845113","2","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","142895","5ffd2c0699c3912436845113","2","15","13029","","","","","","","","","<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>","0","class_response","0","test","3","Andesite","Basalt","05","false","1","2","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","143397","5ffd2c0699c3912436845113","2","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","164386","5ffd2c0699c3912436845113","2","15","20988","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","5","class_response","0","test","4","Pegmatite","Andesite","11","false","6","1","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","164894","5ffd2c0699c3912436845113","2","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","172620","5ffd2c0699c3912436845113","2","15","7725","","","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","7","class_response","0","test","5","Pumice","Pumice","05","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","173129","5ffd2c0699c3912436845113","2","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","184168","5ffd2c0699c3912436845113","2","15","11038","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","2","class_response","0","test","6","Diorite","Diorite","11","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","184682","5ffd2c0699c3912436845113","2","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","194668","5ffd2c0699c3912436845113","2","15","9985","","","","","","","","","<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>","3","class_response","0","test","7","Gabbro","Peridotite","05","false","4","7","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","195176","5ffd2c0699c3912436845113","2","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
