"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1920","947","true","firefox","132.0.0","false","Windows 10","true","17.81","false","false","browser-check","0","2.0.0","3966","633f4f203450d46b01e3d16b","2","27","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","9506","633f4f203450d46b01e3d16b","2","27","5443","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","11882","633f4f203450d46b01e3d16b","2","27","1367","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","11883","633f4f203450d46b01e3d16b","2","27","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","15094","633f4f203450d46b01e3d16b","2","27","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","70474","633f4f203450d46b01e3d16b","2","27","55379","","","","","","","","[{""page_index"":0,""viewing_time"":3757},{""page_index"":1,""viewing_time"":8248},{""page_index"":2,""viewing_time"":43374}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","72003","633f4f203450d46b01e3d16b","2","27","1528","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","82594","633f4f203450d46b01e3d16b","2","27","10589","","","","","","","","","<img src= ""rock_img/I_Obsidian_11.jpg"" style=""width:8cm; height:6.05cm;""><p>What type of rock is this?</p>","6","class_response","0","test","1","Peridotite","Obsidian","11","false","7","5","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","83104","633f4f203450d46b01e3d16b","2","27","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","85146","633f4f203450d46b01e3d16b","2","27","2041","","","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","7","class_response","0","test","2","Pumice","Diorite","14","false","8","3","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","85655","633f4f203450d46b01e3d16b","2","27","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","87624","633f4f203450d46b01e3d16b","2","27","1966","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","3","Andesite","Diorite","10","false","1","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","88128","633f4f203450d46b01e3d16b","2","27","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","89400","633f4f203450d46b01e3d16b","2","27","1272","","","","","","","","","<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","4","class_response","0","test","4","Obsidian","Pegmatite","07","false","5","6","",""
