"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"2560","1271","true","chrome","131.0.0","false","Windows 10","true","155.4","true","true","browser-check","0","2.0.0","397","65c25cf77dca9d7ca7d9ebdb","2","48","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","3281","65c25cf77dca9d7ca7d9ebdb","2","48","2768","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","5364","65c25cf77dca9d7ca7d9ebdb","2","48","1076","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","5365","65c25cf77dca9d7ca7d9ebdb","2","48","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","11372","65c25cf77dca9d7ca7d9ebdb","2","48","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","90311","65c25cf77dca9d7ca7d9ebdb","2","48","78938","","","","","","","","[{""page_index"":0,""viewing_time"":6049},{""page_index"":1,""viewing_time"":10868},{""page_index"":2,""viewing_time"":62021}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","92187","65c25cf77dca9d7ca7d9ebdb","2","48","1875","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","96853","65c25cf77dca9d7ca7d9ebdb","2","48","4664","","","","","","","","","<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>","0","class_response","0","test","1","Andesite","Peridotite","12","false","1","7","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","97366","65c25cf77dca9d7ca7d9ebdb","2","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","101170","65c25cf77dca9d7ca7d9ebdb","2","48","3804","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","1","class_response","0","test","2","Basalt","Basalt","04","true","2","2","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","101682","65c25cf77dca9d7ca7d9ebdb","2","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","106254","65c25cf77dca9d7ca7d9ebdb","2","48","4570","","","","","","","","","<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Diorite","09","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","106762","65c25cf77dca9d7ca7d9ebdb","2","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","109976","65c25cf77dca9d7ca7d9ebdb","2","48","3213","","","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","6","class_response","0","test","4","Peridotite","Gabbro","14","false","7","4","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","110478","65c25cf77dca9d7ca7d9ebdb","2","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","115181","65c25cf77dca9d7ca7d9ebdb","2","48","4703","","","","","","","","","<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>","3","class_response","0","test","5","Gabbro","Gabbro","08","true","4","4","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","115683","65c25cf77dca9d7ca7d9ebdb","2","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","120921","65c25cf77dca9d7ca7d9ebdb","2","48","5237","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","2","class_response","0","test","6","Diorite","Gabbro","03","false","3","4","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","121436","65c25cf77dca9d7ca7d9ebdb","2","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
