"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1728","992","true","chrome","130.0.0","false","Mac OS","true","120.22","true","true","browser-check","0","2.0.0","507","6604276e62cf4a8392d9a5eb","2","28","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","16184","6604276e62cf4a8392d9a5eb","2","28","15594","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","18735","6604276e62cf4a8392d9a5eb","2","28","1547","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","18738","6604276e62cf4a8392d9a5eb","2","28","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","22297","6604276e62cf4a8392d9a5eb","2","28","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","89565","6604276e62cf4a8392d9a5eb","2","28","67266","","","","","","","","[{""page_index"":0,""viewing_time"":7146},{""page_index"":1,""viewing_time"":53752},{""page_index"":2,""viewing_time"":6368}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","91723","6604276e62cf4a8392d9a5eb","2","28","2154","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","244206","6604276e62cf4a8392d9a5eb","2","28","152479","","","","","","","","","<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","3","class_response","0","test","1","Gabbro","Gabbro","15","true","4","4","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","244709","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","284239","6604276e62cf4a8392d9a5eb","2","28","39526","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Pegmatite","11","false","5","6","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","284742","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","341233","6604276e62cf4a8392d9a5eb","2","28","56487","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Diorite","12","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","341735","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","355801","6604276e62cf4a8392d9a5eb","2","28","14063","","","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","5","class_response","0","test","4","Pegmatite","Pegmatite","08","true","6","6","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","356303","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","370409","6604276e62cf4a8392d9a5eb","2","28","14102","","","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","5","Pumice","Basalt","11","false","8","2","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","370911","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","372806","6604276e62cf4a8392d9a5eb","2","28","1892","","","","","","","","","<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>","4","class_response","0","test","6","Obsidian","Obsidian","09","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","373307","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","389964","6604276e62cf4a8392d9a5eb","2","28","16655","","","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","7","Basalt","Gabbro","10","false","2","4","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","390466","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","392632","6604276e62cf4a8392d9a5eb","2","28","2165","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","8","Pumice","Pumice","04","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","393134","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","400430","6604276e62cf4a8392d9a5eb","2","28","7295","","","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","1","class_response","0","test","9","Basalt","Basalt","02","true","2","2","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","400932","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","411428","6604276e62cf4a8392d9a5eb","2","28","10493","","","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","6","class_response","0","test","10","Peridotite","Peridotite","14","true","7","7","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","411930","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","424293","6604276e62cf4a8392d9a5eb","2","28","12360","","","","","","","","","<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>","0","class_response","0","test","11","Andesite","Gabbro","08","false","1","4","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","424795","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","464003","6604276e62cf4a8392d9a5eb","2","28","39207","","","","","","","","","<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>","5","class_response","0","test","12","Pegmatite","Gabbro","09","false","6","4","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","464506","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","499193","6604276e62cf4a8392d9a5eb","2","28","34685","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","4","class_response","0","test","13","Obsidian","Obsidian","07","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","499696","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","502323","6604276e62cf4a8392d9a5eb","2","28","2625","","","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","6","class_response","0","test","14","Peridotite","Obsidian","05","false","7","5","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","502826","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","504436","6604276e62cf4a8392d9a5eb","2","28","1607","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","6","class_response","0","test","15","Peridotite","Peridotite","07","true","7","7","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","504938","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","512842","6604276e62cf4a8392d9a5eb","2","28","7901","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","1","class_response","0","test","16","Basalt","Basalt","04","true","2","2","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","513344","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","515702","6604276e62cf4a8392d9a5eb","2","28","2356","","","","","","","","","<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>","6","class_response","0","test","17","Peridotite","Peridotite","05","true","7","7","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","516205","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","523157","6604276e62cf4a8392d9a5eb","2","28","6949","","","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","0","class_response","0","test","18","Andesite","Andesite","03","true","1","1","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","523660","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","553818","6604276e62cf4a8392d9a5eb","2","28","30157","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","2","class_response","0","test","19","Diorite","Diorite","15","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","554320","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","564851","6604276e62cf4a8392d9a5eb","2","28","10529","","","","","","","","","<img src= ""rock_img/I_Basalt_01.jpg"" style=""width:8cm; height:7.880000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","20","Basalt","Basalt","01","true","2","2","",""
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","565352","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","",""
"","","","","","","","","","","","html-button-response","47","2.0.0","566623","6604276e62cf4a8392d9a5eb","2","28","1269","","","","","","","","","<img src= ""rock_img/I_Pumice_14.jpg"" style=""width:8cm; height:6.39cm;""><p>What type of rock is this?</p>","7","class_response","0","test","21","Pumice","Pumice","14","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","48","2.0.0","567124","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","",""
"","","","","","","","","","","","html-button-response","49","2.0.0","577252","6604276e62cf4a8392d9a5eb","2","28","10126","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","3","class_response","0","test","22","Gabbro","Diorite","16","false","4","3","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","577754","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","584255","6604276e62cf4a8392d9a5eb","2","28","6498","","","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","3","class_response","0","test","23","Gabbro","Andesite","02","false","4","1","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","584757","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","586184","6604276e62cf4a8392d9a5eb","2","28","1424","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","0","test","24","Obsidian","Obsidian","16","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","586686","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","601209","6604276e62cf4a8392d9a5eb","2","28","14522","","","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","5","class_response","0","test","25","Pegmatite","Pegmatite","15","true","6","6","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","601711","6604276e62cf4a8392d9a5eb","2","28","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","",""
