"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1280","593","true","chrome","131.0.0","false","Windows 10","true","60.94","true","true","browser-check","0","2.0.0","1012","663eed67d4b7867ab8b258ac","2","26","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","32762","663eed67d4b7867ab8b258ac","2","26","31629","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","35712","663eed67d4b7867ab8b258ac","2","26","1940","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","35716","663eed67d4b7867ab8b258ac","2","26","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","38555","663eed67d4b7867ab8b258ac","2","26","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","61600","663eed67d4b7867ab8b258ac","2","26","23043","","","","","","","","[{""page_index"":0,""viewing_time"":3918},{""page_index"":1,""viewing_time"":12309},{""page_index"":2,""viewing_time"":6816}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","64381","663eed67d4b7867ab8b258ac","2","26","2777","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","70416","663eed67d4b7867ab8b258ac","2","26","6030","","","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","1","Andesite","Basalt","11","false","1","2","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","70929","663eed67d4b7867ab8b258ac","2","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","75981","663eed67d4b7867ab8b258ac","2","26","5048","","","","","","","","","<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","2","Basalt","Andesite","06","false","2","1","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","76490","663eed67d4b7867ab8b258ac","2","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","80962","663eed67d4b7867ab8b258ac","2","26","4468","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","5","class_response","0","test","3","Pegmatite","Diorite","16","false","6","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","81473","663eed67d4b7867ab8b258ac","2","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","85126","663eed67d4b7867ab8b258ac","2","26","3650","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","2","class_response","0","test","4","Diorite","Pegmatite","09","false","3","6","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","85637","663eed67d4b7867ab8b258ac","2","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","89843","663eed67d4b7867ab8b258ac","2","26","4203","","","","","","","","","<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>","3","class_response","0","test","5","Gabbro","Peridotite","05","false","4","7","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","90353","663eed67d4b7867ab8b258ac","2","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","92741","663eed67d4b7867ab8b258ac","2","26","2386","","","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","0","test","6","Pumice","Pumice","03","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","93254","663eed67d4b7867ab8b258ac","2","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","97158","663eed67d4b7867ab8b258ac","2","26","3901","","","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","6","class_response","0","test","7","Peridotite","Peridotite","14","true","7","7","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","97667","663eed67d4b7867ab8b258ac","2","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","100773","663eed67d4b7867ab8b258ac","2","26","3103","","","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","4","class_response","0","test","8","Obsidian","Pegmatite","03","false","5","6","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","101283","663eed67d4b7867ab8b258ac","2","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","104955","663eed67d4b7867ab8b258ac","2","26","3669","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","5","class_response","0","test","9","Pegmatite","Diorite","10","false","6","3","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","105467","663eed67d4b7867ab8b258ac","2","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","",""
