"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1280","585","true","chrome","130.0.0","false","Windows 10","true","60.07","true","true","browser-check","0","2.0.0","1011","66d1acabe75fc3f59ec0fb4b","2","24","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","723765","66d1acabe75fc3f59ec0fb4b","2","24","721406","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","726468","66d1acabe75fc3f59ec0fb4b","2","24","1679","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","726478","66d1acabe75fc3f59ec0fb4b","2","24","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","733912","66d1acabe75fc3f59ec0fb4b","2","24","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","783680","66d1acabe75fc3f59ec0fb4b","2","24","49763","","","","","","","","[{""page_index"":0,""viewing_time"":44232},{""page_index"":1,""viewing_time"":4030},{""page_index"":2,""viewing_time"":1501}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","785041","66d1acabe75fc3f59ec0fb4b","2","24","1353","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","791510","66d1acabe75fc3f59ec0fb4b","2","24","6465","","","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Peridotite","02","false","2","7","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","792020","66d1acabe75fc3f59ec0fb4b","2","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","797131","66d1acabe75fc3f59ec0fb4b","2","24","5105","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","0","class_response","0","test","2","Andesite","Basalt","04","false","1","2","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","797647","66d1acabe75fc3f59ec0fb4b","2","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","800436","66d1acabe75fc3f59ec0fb4b","2","24","2785","","","","","","","","","<img src= ""rock_img/I_Diorite_07.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","3","Pumice","Diorite","07","false","8","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","800940","66d1acabe75fc3f59ec0fb4b","2","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","801387","66d1acabe75fc3f59ec0fb4b","2","24","442","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","4","Diorite","Diorite","10","true","3","3","",""
