"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1352","617","true","chrome","131.0.0","false","Windows 10","true","146.56","false","true","browser-check","0","2.0.0","419","66ef212cf79668f34be612d8","2","22","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","6420","66ef212cf79668f34be612d8","2","22","5936","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","8722","66ef212cf79668f34be612d8","2","22","1286","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","8723","66ef212cf79668f34be612d8","2","22","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","9931","66ef212cf79668f34be612d8","2","22","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","37587","66ef212cf79668f34be612d8","2","22","27655","","","","","","","","[{""page_index"":0,""viewing_time"":5495},{""page_index"":1,""viewing_time"":12781},{""page_index"":2,""viewing_time"":9379}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","39058","66ef212cf79668f34be612d8","2","22","1470","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","46315","66ef212cf79668f34be612d8","2","22","7255","","","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Peridotite","08","false","2","7","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","46828","66ef212cf79668f34be612d8","2","22","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","53831","66ef212cf79668f34be612d8","2","22","7001","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","7","class_response","0","test","2","Pumice","Basalt","04","false","8","2","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","54345","66ef212cf79668f34be612d8","2","22","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","63264","66ef212cf79668f34be612d8","2","22","8917","","","","","","","","","<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Andesite","06","false","3","1","",""
