"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1470","797","true","chrome","131.0.0","false","Mac OS","true","60.42","true","true","browser-check","0","2.0.0","1001","67322550bd5dfa0cd2958366","2","52","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","108258","67322550bd5dfa0cd2958366","2","52","107075","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","111692","67322550bd5dfa0cd2958366","2","52","2430","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","111695","67322550bd5dfa0cd2958366","2","52","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","124802","67322550bd5dfa0cd2958366","2","52","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","190012","67322550bd5dfa0cd2958366","2","52","65209","","","","","","","","[{""page_index"":0,""viewing_time"":8645},{""page_index"":1,""viewing_time"":19730},{""page_index"":2,""viewing_time"":36834}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","192174","67322550bd5dfa0cd2958366","2","52","2160","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","197365","67322550bd5dfa0cd2958366","2","52","5188","","","","","","","","","<img src= ""rock_img/I_Diorite_07.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","1","Diorite","Diorite","07","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","197868","67322550bd5dfa0cd2958366","2","52","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","202032","67322550bd5dfa0cd2958366","2","52","4161","","","","","","","","","<img src= ""rock_img/I_Andesite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","6","class_response","0","test","2","Peridotite","Andesite","10","false","7","1","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","202534","67322550bd5dfa0cd2958366","2","52","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","206618","67322550bd5dfa0cd2958366","2","52","4080","","","","","","","","","<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","3","class_response","0","test","3","Gabbro","Gabbro","05","true","4","4","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","207121","67322550bd5dfa0cd2958366","2","52","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","209900","67322550bd5dfa0cd2958366","2","52","2777","","","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","0","class_response","0","test","4","Andesite","Gabbro","14","false","1","4","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","210402","67322550bd5dfa0cd2958366","2","52","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
