"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1536","695","true","chrome","130.0.0","false","Windows 10","true","60.47","true","true","browser-check","0","2.0.0","1013","5d75c56a52c89d0017df611c","1","15","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","78654","5d75c56a52c89d0017df611c","1","15","77550","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","83802","5d75c56a52c89d0017df611c","1","15","4144","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","83805","5d75c56a52c89d0017df611c","1","15","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","86337","5d75c56a52c89d0017df611c","1","15","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","133755","5d75c56a52c89d0017df611c","1","15","47417","","","","","","","","[{""page_index"":0,""viewing_time"":13249},{""page_index"":1,""viewing_time"":22262},{""page_index"":2,""viewing_time"":11906}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","141183","5d75c56a52c89d0017df611c","1","15","7425","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","145576","5d75c56a52c89d0017df611c","1","15","4390","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","0","test","1","Obsidian","Obsidian","06","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","146094","5d75c56a52c89d0017df611c","1","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","153186","5d75c56a52c89d0017df611c","1","15","7089","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","7","class_response","0","test","2","Pumice","Andesite","09","false","8","1","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","153696","5d75c56a52c89d0017df611c","1","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","158763","5d75c56a52c89d0017df611c","1","15","5065","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","0","class_response","0","test","3","Andesite","Pegmatite","11","false","1","6","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","159268","5d75c56a52c89d0017df611c","1","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","166523","5d75c56a52c89d0017df611c","1","15","7253","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","2","class_response","0","test","4","Diorite","Pegmatite","09","false","3","6","",""
