"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1600","739","true","chrome","130.0.0","false","Windows 10","true","60.09","true","true","browser-check","0","2.0.0","1034","5e767774d5274000082f5582","1","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","42365","5e767774d5274000082f5582","1","10","41247","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","45307","5e767774d5274000082f5582","1","10","1937","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","45312","5e767774d5274000082f5582","1","10","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","48002","5e767774d5274000082f5582","1","10","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","85328","5e767774d5274000082f5582","1","10","37316","","","","","","","","[{""page_index"":0,""viewing_time"":9440},{""page_index"":1,""viewing_time"":18000},{""page_index"":2,""viewing_time"":9876}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","87429","5e767774d5274000082f5582","1","10","2098","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","94919","5e767774d5274000082f5582","1","10","7487","","","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","2","class_response","0","test","1","Diorite","Peridotite","14","false","3","7","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","95424","5e767774d5274000082f5582","1","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","100053","5e767774d5274000082f5582","1","10","4624","","","","","","","","","<img src= ""rock_img/I_Basalt_09.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","7","class_response","0","test","2","Pumice","Basalt","09","false","8","2","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","100555","5e767774d5274000082f5582","1","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","110564","5e767774d5274000082f5582","1","10","10007","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","3","class_response","0","test","3","Gabbro","Diorite","12","false","4","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","111078","5e767774d5274000082f5582","1","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","114819","5e767774d5274000082f5582","1","10","3738","","","","","","","","","<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>","5","class_response","0","test","4","Pegmatite","Pumice","08","false","6","8","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","115321","5e767774d5274000082f5582","1","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","117026","5e767774d5274000082f5582","1","10","1703","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","4","class_response","0","test","5","Obsidian","Basalt","04","false","5","2","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","117542","5e767774d5274000082f5582","1","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","121874","5e767774d5274000082f5582","1","10","4329","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","6","Diorite","Andesite","14","false","3","1","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","122381","5e767774d5274000082f5582","1","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","125915","5e767774d5274000082f5582","1","10","3531","","","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","1","class_response","0","test","7","Basalt","Pumice","03","false","2","8","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","126429","5e767774d5274000082f5582","1","10","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
