"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1280","665","true","chrome","130.0.0","false","Windows 10","true","60.27","true","true","browser-check","0","2.0.0","1007","5f16f559325a640008bb9a07","1","35","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","4670","5f16f559325a640008bb9a07","1","35","3575","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","6738","5f16f559325a640008bb9a07","1","35","1050","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","6744","5f16f559325a640008bb9a07","1","35","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","8140","5f16f559325a640008bb9a07","1","35","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","17589","5f16f559325a640008bb9a07","1","35","9448","","","","","","","","[{""page_index"":0,""viewing_time"":2087},{""page_index"":1,""viewing_time"":5284},{""page_index"":2,""viewing_time"":2077}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","18742","5f16f559325a640008bb9a07","1","35","1149","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","21402","5f16f559325a640008bb9a07","1","35","2656","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Andesite","04","false","2","1","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","21913","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","26297","5f16f559325a640008bb9a07","1","35","4382","","","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","6","class_response","0","test","2","Peridotite","Diorite","14","false","7","3","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","26802","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","29028","5f16f559325a640008bb9a07","1","35","2222","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","7","class_response","0","test","3","Pumice","Diorite","12","false","8","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","29541","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","30261","5f16f559325a640008bb9a07","1","35","717","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","6","class_response","0","test","4","Peridotite","Gabbro","03","false","7","4","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","30770","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","32413","5f16f559325a640008bb9a07","1","35","1641","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","4","class_response","0","test","5","Obsidian","Andesite","14","false","5","1","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","32935","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","34698","5f16f559325a640008bb9a07","1","35","1761","","","","","","","","","<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>","0","class_response","0","test","6","Andesite","Pumice","13","false","1","8","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","35204","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","36743","5f16f559325a640008bb9a07","1","35","1537","","","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","3","class_response","0","test","7","Gabbro","Andesite","03","false","4","1","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","37254","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","38438","5f16f559325a640008bb9a07","1","35","1182","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","8","Pumice","Obsidian","10","false","8","5","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","38952","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","39431","5f16f559325a640008bb9a07","1","35","478","","","","","","","","","<img src= ""rock_img/I_Obsidian_04.jpg"" style=""width:8cm; height:6.930000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","9","Basalt","Obsidian","04","false","2","5","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","39937","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","40333","5f16f559325a640008bb9a07","1","35","394","","","","","","","","","<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","6","class_response","0","test","10","Peridotite","Gabbro","15","false","7","4","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","40845","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","41661","5f16f559325a640008bb9a07","1","35","814","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","2","class_response","0","test","11","Diorite","Pegmatite","11","false","3","6","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","42175","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","42501","5f16f559325a640008bb9a07","1","35","322","","","","","","","","","<img src= ""rock_img/I_Basalt_09.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","5","class_response","0","test","12","Pegmatite","Basalt","09","false","6","2","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","43014","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","43385","5f16f559325a640008bb9a07","1","35","368","","","","","","","","","<img src= ""rock_img/I_Basalt_12.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","0","class_response","0","test","13","Andesite","Basalt","12","false","1","2","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","43902","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","44157","5f16f559325a640008bb9a07","1","35","254","","","","","","","","","<img src= ""rock_img/I_Peridotite_04.jpg"" style=""width:8cm; height:6.680000000000001cm;""><p>What type of rock is this?</p>","5","class_response","0","test","14","Pegmatite","Peridotite","04","false","6","7","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","44669","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","45372","5f16f559325a640008bb9a07","1","35","701","","","","","","","","","<img src= ""rock_img/I_Basalt_01.jpg"" style=""width:8cm; height:7.880000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","15","Basalt","Basalt","01","true","2","2","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","45874","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","46216","5f16f559325a640008bb9a07","1","35","340","","","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","4","class_response","0","test","16","Obsidian","Peridotite","06","false","5","7","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","46725","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","47006","5f16f559325a640008bb9a07","1","35","280","","","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","2","class_response","0","test","17","Diorite","Andesite","02","false","3","1","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","47516","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","47795","5f16f559325a640008bb9a07","1","35","277","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","5","class_response","0","test","18","Pegmatite","Pegmatite","13","true","6","6","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","48298","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","48636","5f16f559325a640008bb9a07","1","35","336","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","19","Basalt","Pumice","04","false","2","8","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","49152","5f16f559325a640008bb9a07","1","35","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","49439","5f16f559325a640008bb9a07","1","35","285","","","","","","","","","<img src= ""rock_img/I_Andesite_16.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","6","class_response","0","test","20","Peridotite","Andesite","16","false","7","1","",""
