"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1280","632","true","chrome","130.0.0","false","Windows 10","true","60.6","true","true","browser-check","0","2.0.0","1009","5f969b802a498b000aab2571","1","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","19553","5f969b802a498b000aab2571","1","2","18427","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","22699","5f969b802a498b000aab2571","1","2","2127","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","22702","5f969b802a498b000aab2571","1","2","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","26335","5f969b802a498b000aab2571","1","2","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","52808","5f969b802a498b000aab2571","1","2","26472","","","","","","","","[{""page_index"":0,""viewing_time"":5094},{""page_index"":1,""viewing_time"":12930},{""page_index"":2,""viewing_time"":8448}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","54375","5f969b802a498b000aab2571","1","2","1563","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","60524","5f969b802a498b000aab2571","1","2","6145","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","6","class_response","0","test","1","Peridotite","Diorite","11","false","7","3","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","61038","5f969b802a498b000aab2571","1","2","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","66023","5f969b802a498b000aab2571","1","2","4982","","","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Obsidian","05","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","66535","5f969b802a498b000aab2571","1","2","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","72470","5f969b802a498b000aab2571","1","2","5932","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","0","test","3","Obsidian","Obsidian","06","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","72982","5f969b802a498b000aab2571","1","2","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
