"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1241","800","true","chrome","131.0.0","false","Windows 10","true","242.23","true","true","browser-check","0","2.0.0","259","5fd7782dee03dc08d3f3f491","1","31","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","13993","5fd7782dee03dc08d3f3f491","1","31","13631","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","16435","5fd7782dee03dc08d3f3f491","1","31","1440","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","16437","5fd7782dee03dc08d3f3f491","1","31","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","24619","5fd7782dee03dc08d3f3f491","1","31","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","63892","5fd7782dee03dc08d3f3f491","1","31","39271","","","","","","","","[{""page_index"":0,""viewing_time"":8287},{""page_index"":1,""viewing_time"":18682},{""page_index"":2,""viewing_time"":12302}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","68186","5fd7782dee03dc08d3f3f491","1","31","4292","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","77758","5fd7782dee03dc08d3f3f491","1","31","9570","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Pegmatite","11","false","8","6","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","78267","5fd7782dee03dc08d3f3f491","1","31","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","85793","5fd7782dee03dc08d3f3f491","1","31","7524","","","","","","","","","<img src= ""rock_img/I_Basalt_16.jpg"" style=""width:8cm; height:7.659999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","2","Andesite","Basalt","16","false","1","2","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","86301","5fd7782dee03dc08d3f3f491","1","31","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","92239","5fd7782dee03dc08d3f3f491","1","31","5936","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Peridotite","07","false","3","7","",""
