"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1920","955","true","firefox","132.0.0","false","Windows 10","true","2.46","false","true","browser-check","0","2.0.0","25429","617452347986aeaf4d2e5278","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","28367","617452347986aeaf4d2e5278","1","1","2786","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","37101","617452347986aeaf4d2e5278","1","1","7727","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","37103","617452347986aeaf4d2e5278","1","1","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","38832","617452347986aeaf4d2e5278","1","1","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","49827","617452347986aeaf4d2e5278","1","1","10994","","","","","","","","[{""page_index"":0,""viewing_time"":5235},{""page_index"":1,""viewing_time"":3873},{""page_index"":2,""viewing_time"":1886}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","50726","617452347986aeaf4d2e5278","1","1","898","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","57263","617452347986aeaf4d2e5278","1","1","6534","","","","","","","","","<img src= ""rock_img/I_Andesite_05.jpg"" style=""width:8cm; height:4.12cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Andesite","05","false","8","1","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","57766","617452347986aeaf4d2e5278","1","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","59620","617452347986aeaf4d2e5278","1","1","1851","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","2","class_response","0","test","2","Diorite","Andesite","09","false","3","1","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","60137","617452347986aeaf4d2e5278","1","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","63899","617452347986aeaf4d2e5278","1","1","3761","","","","","","","","","<img src= ""rock_img/I_Diorite_02.jpg"" style=""width:8cm; height:6.27cm;""><p>What type of rock is this?</p>","0","class_response","0","test","3","Andesite","Diorite","02","false","1","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","64439","617452347986aeaf4d2e5278","1","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","69244","617452347986aeaf4d2e5278","1","1","4801","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","1","class_response","0","test","4","Basalt","Diorite","15","false","2","3","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","69760","617452347986aeaf4d2e5278","1","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","72494","617452347986aeaf4d2e5278","1","1","2733","","","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","6","class_response","0","test","5","Peridotite","Basalt","14","false","7","2","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","73005","617452347986aeaf4d2e5278","1","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","74994","617452347986aeaf4d2e5278","1","1","1987","","","","","","","","","<img src= ""rock_img/I_Basalt_09.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","1","class_response","0","test","6","Basalt","Basalt","09","true","2","2","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","75505","617452347986aeaf4d2e5278","1","1","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
