"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1600","765","true","chrome","130.0.0","false","Windows 10","true","60.28","true","true","browser-check","0","2.0.0","1004","63e5517cd738b83025348a43","1","41","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","42343","63e5517cd738b83025348a43","1","41","41262","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","44787","63e5517cd738b83025348a43","1","41","1432","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","44791","63e5517cd738b83025348a43","1","41","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","52963","63e5517cd738b83025348a43","1","41","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","78638","63e5517cd738b83025348a43","1","41","25675","","","","","","","","[{""page_index"":0,""viewing_time"":4064},{""page_index"":1,""viewing_time"":13384},{""page_index"":2,""viewing_time"":8227}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","80561","63e5517cd738b83025348a43","1","41","1921","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","88396","63e5517cd738b83025348a43","1","41","7833","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","3","class_response","0","test","1","Gabbro","Diorite","16","false","4","3","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","88900","63e5517cd738b83025348a43","1","41","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","91731","63e5517cd738b83025348a43","1","41","2830","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","0","class_response","0","test","2","Andesite","Diorite","12","false","1","3","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","92246","63e5517cd738b83025348a43","1","41","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","95523","63e5517cd738b83025348a43","1","41","3274","","","","","","","","","<img src= ""rock_img/I_Diorite_07.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Diorite","07","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","96034","63e5517cd738b83025348a43","1","41","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
