"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1280","632","true","chrome","131.0.0","false","Windows 10","true","60.56","true","true","browser-check","0","2.0.0","1011","64d50c4b3a44318d98f4f5b2","1","24","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","14148","64d50c4b3a44318d98f4f5b2","1","24","13057","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","19814","64d50c4b3a44318d98f4f5b2","1","24","4662","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","19818","64d50c4b3a44318d98f4f5b2","1","24","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","33658","64d50c4b3a44318d98f4f5b2","1","24","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","77580","64d50c4b3a44318d98f4f5b2","1","24","43920","","","","","","","","[{""page_index"":0,""viewing_time"":9381},{""page_index"":1,""viewing_time"":23375},{""page_index"":2,""viewing_time"":11164}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","79828","64d50c4b3a44318d98f4f5b2","1","24","2246","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","88995","64d50c4b3a44318d98f4f5b2","1","24","9166","","","","","","","","","<img src= ""rock_img/I_Pumice_14.jpg"" style=""width:8cm; height:6.39cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Pumice","14","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","89501","64d50c4b3a44318d98f4f5b2","1","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","97068","64d50c4b3a44318d98f4f5b2","1","24","7564","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Obsidian","06","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","97571","64d50c4b3a44318d98f4f5b2","1","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","104219","64d50c4b3a44318d98f4f5b2","1","24","6645","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Diorite","16","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","104736","64d50c4b3a44318d98f4f5b2","1","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","113929","64d50c4b3a44318d98f4f5b2","1","24","9191","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","3","class_response","0","test","4","Gabbro","Andesite","11","false","4","1","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","114431","64d50c4b3a44318d98f4f5b2","1","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","118380","64d50c4b3a44318d98f4f5b2","1","24","3948","","","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","0","test","5","Pumice","Pumice","03","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","118895","64d50c4b3a44318d98f4f5b2","1","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","126621","64d50c4b3a44318d98f4f5b2","1","24","7725","","","","","","","","","<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>","0","class_response","0","test","6","Andesite","Gabbro","08","false","1","4","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","127123","64d50c4b3a44318d98f4f5b2","1","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","129729","64d50c4b3a44318d98f4f5b2","1","24","2605","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","0","class_response","0","test","7","Andesite","Gabbro","03","false","1","4","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","130231","64d50c4b3a44318d98f4f5b2","1","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
