"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1366","641","true","chrome","131.0.0","false","Windows 10","true","60.7","true","true","browser-check","0","2.0.0","1006","659d779096ebe05ecca2ebce","1","49","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","794201","659d779096ebe05ecca2ebce","1","49","791067","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","820452","659d779096ebe05ecca2ebce","1","49","25232","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","820457","659d779096ebe05ecca2ebce","1","49","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","854599","659d779096ebe05ecca2ebce","1","49","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","988665","659d779096ebe05ecca2ebce","1","49","134063","","","","","","","","[{""page_index"":0,""viewing_time"":94465},{""page_index"":1,""viewing_time"":26607},{""page_index"":2,""viewing_time"":12991}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","993341","659d779096ebe05ecca2ebce","1","49","4674","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","997416","659d779096ebe05ecca2ebce","1","49","4073","","","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Pumice","09","false","2","8","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","997932","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","1001153","659d779096ebe05ecca2ebce","1","49","3217","","","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","5","class_response","0","test","2","Pegmatite","Peridotite","14","false","6","7","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","1001660","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","1003837","659d779096ebe05ecca2ebce","1","49","2173","","","","","","","","","<img src= ""rock_img/I_Basalt_09.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","6","class_response","0","test","3","Peridotite","Basalt","09","false","7","2","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","1004350","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","1006957","659d779096ebe05ecca2ebce","1","49","2605","","","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","0","class_response","0","test","4","Andesite","Andesite","02","true","1","1","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","1007466","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","1010008","659d779096ebe05ecca2ebce","1","49","2540","","","","","","","","","<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>","1","class_response","0","test","5","Basalt","Obsidian","12","false","2","5","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","1010524","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","1013362","659d779096ebe05ecca2ebce","1","49","2835","","","","","","","","","<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>","7","class_response","0","test","6","Pumice","Basalt","05","false","8","2","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","1013869","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","1017445","659d779096ebe05ecca2ebce","1","49","3573","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","1","class_response","0","test","7","Basalt","Gabbro","03","false","2","4","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","1017948","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","1020429","659d779096ebe05ecca2ebce","1","49","2478","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","2","class_response","0","test","8","Diorite","Obsidian","16","false","3","5","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","1020940","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","1022753","659d779096ebe05ecca2ebce","1","49","1810","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","0","class_response","0","test","9","Andesite","Diorite","15","false","1","3","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","1023256","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","1025286","659d779096ebe05ecca2ebce","1","49","2027","","","","","","","","","<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","10","Pumice","Pumice","13","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","1025796","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","1028090","659d779096ebe05ecca2ebce","1","49","2291","","","","","","","","","<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>","4","class_response","0","test","11","Obsidian","Gabbro","09","false","5","4","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","1028594","659d779096ebe05ecca2ebce","1","49","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","",""
