"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1522","688","true","chrome","130.0.0","false","Windows 10","true","167.27","true","true","browser-check","0","2.0.0","373","661ff00c03ba28739dd3fbef","1","4","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","5295","661ff00c03ba28739dd3fbef","1","4","4852","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","8780","661ff00c03ba28739dd3fbef","1","4","2472","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","8781","661ff00c03ba28739dd3fbef","1","4","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","11645","661ff00c03ba28739dd3fbef","1","4","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","57879","661ff00c03ba28739dd3fbef","1","4","46233","","","","","","","","[{""page_index"":0,""viewing_time"":15289},{""page_index"":1,""viewing_time"":19119},{""page_index"":2,""viewing_time"":11825}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","60788","661ff00c03ba28739dd3fbef","1","4","2907","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","85935","661ff00c03ba28739dd3fbef","1","4","25146","","","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Gabbro","16","false","8","4","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","86443","661ff00c03ba28739dd3fbef","1","4","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","98259","661ff00c03ba28739dd3fbef","1","4","11814","","","","","","","","","<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>","5","class_response","0","test","2","Pegmatite","Andesite","06","false","6","1","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","98764","661ff00c03ba28739dd3fbef","1","4","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","135439","661ff00c03ba28739dd3fbef","1","4","36673","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","6","class_response","0","test","3","Peridotite","Pumice","04","false","7","8","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","135940","661ff00c03ba28739dd3fbef","1","4","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","157645","661ff00c03ba28739dd3fbef","1","4","21704","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","5","class_response","0","test","4","Pegmatite","Diorite","11","false","6","3","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","158158","661ff00c03ba28739dd3fbef","1","4","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","171482","661ff00c03ba28739dd3fbef","1","4","13323","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","3","class_response","0","test","5","Gabbro","Gabbro","01","true","4","4","",""
