"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"985","993","true","chrome","130.0.0","false","Chrome OS","true","60.68","true","true","browser-check","0","2.0.0","1001","66463e4efb99fba5a67a010a","1","33","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","193111","66463e4efb99fba5a67a010a","1","33","192027","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","195322","66463e4efb99fba5a67a010a","1","33","1201","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","195325","66463e4efb99fba5a67a010a","1","33","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","196703","66463e4efb99fba5a67a010a","1","33","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","216996","66463e4efb99fba5a67a010a","1","33","20290","","","","","","","","[{""page_index"":0,""viewing_time"":3455},{""page_index"":1,""viewing_time"":5510},{""page_index"":2,""viewing_time"":11325}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","219868","66463e4efb99fba5a67a010a","1","33","2868","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","222916","66463e4efb99fba5a67a010a","1","33","3044","","","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Peridotite","08","false","2","7","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","223420","66463e4efb99fba5a67a010a","1","33","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","226826","66463e4efb99fba5a67a010a","1","33","3402","","","","","","","","","<img src= ""rock_img/I_Pegmatite_12.jpg"" style=""width:8cm; height:5.7cm;""><p>What type of rock is this?</p>","5","class_response","0","test","2","Pegmatite","Pegmatite","12","true","6","6","",""
