"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1536","738","true","chrome","131.0.0","false","Windows 10","true","60.66","true","true","browser-check","0","2.0.0","5094","66495b83f9f5ed828568503f","1","29","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","172725","66495b83f9f5ed828568503f","1","29","167299","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","190843","66495b83f9f5ed828568503f","1","29","17102","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","190845","66495b83f9f5ed828568503f","1","29","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","209800","66495b83f9f5ed828568503f","1","29","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","256342","66495b83f9f5ed828568503f","1","29","46541","","","","","","","","[{""page_index"":0,""viewing_time"":13664},{""page_index"":1,""viewing_time"":18396},{""page_index"":2,""viewing_time"":14480}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","258008","66495b83f9f5ed828568503f","1","29","1663","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","262922","66495b83f9f5ed828568503f","1","29","4911","","","","","","","","","<img src= ""rock_img/I_Diorite_02.jpg"" style=""width:8cm; height:6.27cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Diorite","02","false","2","3","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","263437","66495b83f9f5ed828568503f","1","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","265798","66495b83f9f5ed828568503f","1","29","2359","","","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","3","class_response","0","test","2","Gabbro","Peridotite","10","false","4","7","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","266300","66495b83f9f5ed828568503f","1","29","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
