"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1536","730","true","chrome","131.0.0","false","Windows 10","true","60.96","false","false","browser-check","0","2.0.0","1021","669ecaf71fc12b3e8b8cd191","1","38","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","63111","669ecaf71fc12b3e8b8cd191","1","38","62015","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","68139","669ecaf71fc12b3e8b8cd191","1","38","4021","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","68141","669ecaf71fc12b3e8b8cd191","1","38","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","70285","669ecaf71fc12b3e8b8cd191","1","38","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","111904","669ecaf71fc12b3e8b8cd191","1","38","41617","","","","","","","","[{""page_index"":0,""viewing_time"":6927},{""page_index"":1,""viewing_time"":24586},{""page_index"":2,""viewing_time"":10104}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","113461","669ecaf71fc12b3e8b8cd191","1","38","1555","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","121489","669ecaf71fc12b3e8b8cd191","1","38","8025","","","","","","","","","<img src= ""rock_img/I_Basalt_12.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Basalt","12","false","8","2","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","122006","669ecaf71fc12b3e8b8cd191","1","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","128340","669ecaf71fc12b3e8b8cd191","1","38","6331","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","6","class_response","0","test","2","Peridotite","Pegmatite","06","false","7","6","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","128856","669ecaf71fc12b3e8b8cd191","1","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","133729","669ecaf71fc12b3e8b8cd191","1","38","4871","","","","","","","","","<img src= ""rock_img/I_Andesite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","0","class_response","0","test","3","Andesite","Andesite","10","true","1","1","",""
