"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1920","953","true","chrome","130.0.0","false","Windows 10","true","61.29","false","false","browser-check","0","2.0.0","997","66b4d2ee1ac8c5e9060a6930","1","21","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","20145","66b4d2ee1ac8c5e9060a6930","1","21","19046","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","22836","66b4d2ee1ac8c5e9060a6930","1","21","1677","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","22839","66b4d2ee1ac8c5e9060a6930","1","21","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","26078","66b4d2ee1ac8c5e9060a6930","1","21","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","65433","66b4d2ee1ac8c5e9060a6930","1","21","39353","","","","","","","","[{""page_index"":0,""viewing_time"":7361},{""page_index"":1,""viewing_time"":21016},{""page_index"":2,""viewing_time"":10976}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","67713","66b4d2ee1ac8c5e9060a6930","1","21","2278","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","80105","66b4d2ee1ac8c5e9060a6930","1","21","12390","","","","","","","","","<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Peridotite","12","false","2","7","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","80610","66b4d2ee1ac8c5e9060a6930","1","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","86617","66b4d2ee1ac8c5e9060a6930","1","21","6004","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Obsidian","06","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","87129","66b4d2ee1ac8c5e9060a6930","1","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","89712","66b4d2ee1ac8c5e9060a6930","1","21","2581","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","0","test","3","Obsidian","Obsidian","16","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","90214","66b4d2ee1ac8c5e9060a6930","1","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","92576","66b4d2ee1ac8c5e9060a6930","1","21","2360","","","","","","","","","<img src= ""rock_img/I_Andesite_05.jpg"" style=""width:8cm; height:4.12cm;""><p>What type of rock is this?</p>","6","class_response","0","test","4","Peridotite","Andesite","05","false","7","1","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","93092","66b4d2ee1ac8c5e9060a6930","1","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","98250","66b4d2ee1ac8c5e9060a6930","1","21","5156","","","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","2","class_response","0","test","5","Diorite","Gabbro","12","false","3","4","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","98759","66b4d2ee1ac8c5e9060a6930","1","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","100176","66b4d2ee1ac8c5e9060a6930","1","21","1415","","","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","0","test","6","Pumice","Pumice","09","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","100690","66b4d2ee1ac8c5e9060a6930","1","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
