"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1920","919","true","chrome","130.0.0","false","Windows 10","true","61.47","false","true","browser-check","0","2.0.0","1027","66c3dfeeebce955a71524f5a","1","18","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","34443","66c3dfeeebce955a71524f5a","1","18","33276","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","38690","66c3dfeeebce955a71524f5a","1","18","3231","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","38691","66c3dfeeebce955a71524f5a","1","18","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","51709","66c3dfeeebce955a71524f5a","1","18","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","112506","66c3dfeeebce955a71524f5a","1","18","60796","","","","","","","","[{""page_index"":0,""viewing_time"":7204},{""page_index"":1,""viewing_time"":30384},{""page_index"":2,""viewing_time"":23208}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","115507","66c3dfeeebce955a71524f5a","1","18","2999","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","135002","66c3dfeeebce955a71524f5a","1","18","19494","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","0","class_response","0","test","1","Andesite","Pegmatite","06","false","1","6","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","135518","66c3dfeeebce955a71524f5a","1","18","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","140739","66c3dfeeebce955a71524f5a","1","18","5219","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Basalt","04","false","5","2","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","141251","66c3dfeeebce955a71524f5a","1","18","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","156330","66c3dfeeebce955a71524f5a","1","18","15076","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","5","class_response","0","test","3","Pegmatite","Obsidian","07","false","6","5","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","156837","66c3dfeeebce955a71524f5a","1","18","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","159074","66c3dfeeebce955a71524f5a","1","18","2235","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","0","test","4","Obsidian","Obsidian","16","true","5","5","",""
