"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1920","919","true","chrome","131.0.0","false","Windows 10","true","60.56","true","true","browser-check","0","2.0.0","121866","6711602fe81fc6cf620cecff","1","30","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","126055","6711602fe81fc6cf620cecff","1","30","3992","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","130114","6711602fe81fc6cf620cecff","1","30","3052","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","130116","6711602fe81fc6cf620cecff","1","30","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","133414","6711602fe81fc6cf620cecff","1","30","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","270450","6711602fe81fc6cf620cecff","1","30","137036","","","","","","","","[{""page_index"":0,""viewing_time"":7656},{""page_index"":1,""viewing_time"":109686},{""page_index"":2,""viewing_time"":19694}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","275216","6711602fe81fc6cf620cecff","1","30","4764","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","283259","6711602fe81fc6cf620cecff","1","30","8040","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","6","class_response","0","test","1","Peridotite","Pegmatite","11","false","7","6","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","283778","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","291417","6711602fe81fc6cf620cecff","1","30","7637","","","","","","","","","<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>","5","class_response","0","test","2","Pegmatite","Peridotite","05","false","6","7","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","291938","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","293952","6711602fe81fc6cf620cecff","1","30","2012","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","3","Obsidian","Obsidian","10","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","294458","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","299944","6711602fe81fc6cf620cecff","1","30","5485","","","","","","","","","<img src= ""rock_img/I_Peridotite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","2","class_response","0","test","4","Diorite","Peridotite","15","false","3","7","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","300457","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","305062","6711602fe81fc6cf620cecff","1","30","4603","","","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","1","class_response","0","test","5","Basalt","Gabbro","16","false","2","4","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","305577","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","311719","6711602fe81fc6cf620cecff","1","30","6140","","","","","","","","","<img src= ""rock_img/I_Diorite_02.jpg"" style=""width:8cm; height:6.27cm;""><p>What type of rock is this?</p>","3","class_response","0","test","6","Gabbro","Diorite","02","false","4","3","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","312228","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","319906","6711602fe81fc6cf620cecff","1","30","7677","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","0","class_response","0","test","7","Andesite","Diorite","08","false","1","3","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","320427","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","321910","6711602fe81fc6cf620cecff","1","30","1481","","","","","","","","","<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>","7","class_response","0","test","8","Pumice","Pumice","08","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","322418","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","324462","6711602fe81fc6cf620cecff","1","30","2042","","","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","2","class_response","0","test","9","Diorite","Diorite","14","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","324967","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","330517","6711602fe81fc6cf620cecff","1","30","5548","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","1","class_response","0","test","10","Basalt","Andesite","09","false","2","1","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","331022","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","332730","6711602fe81fc6cf620cecff","1","30","1707","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","0","test","11","Obsidian","Obsidian","06","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","333231","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","334766","6711602fe81fc6cf620cecff","1","30","1533","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","4","class_response","0","test","12","Obsidian","Basalt","04","false","5","2","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","335271","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","337556","6711602fe81fc6cf620cecff","1","30","2283","","","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","6","class_response","0","test","13","Peridotite","Peridotite","08","true","7","7","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","338068","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","340170","6711602fe81fc6cf620cecff","1","30","2100","","","","","","","","","<img src= ""rock_img/I_Andesite_01.jpg"" style=""width:8cm; height:5.87cm;""><p>What type of rock is this?</p>","1","class_response","0","test","14","Basalt","Andesite","01","false","2","1","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","340677","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","343557","6711602fe81fc6cf620cecff","1","30","2878","","","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","1","class_response","0","test","15","Basalt","Basalt","08","true","2","2","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","344068","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","345846","6711602fe81fc6cf620cecff","1","30","1777","","","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","0","test","16","Pumice","Pumice","03","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","346357","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","347326","6711602fe81fc6cf620cecff","1","30","967","","","","","","","","","<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","17","Pumice","Pumice","13","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","347838","6711602fe81fc6cf620cecff","1","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","",""
