"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1366","679","true","chrome","128.0.0","false","Windows 10","true","60.55","false","true","browser-check","0","2.0.0","4398","67131b8bef325ea544a658d0","1","53","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","179551","67131b8bef325ea544a658d0","1","53","174825","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","183854","67131b8bef325ea544a658d0","1","53","3291","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","183856","67131b8bef325ea544a658d0","1","53","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","217043","67131b8bef325ea544a658d0","1","53","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","283549","67131b8bef325ea544a658d0","1","53","66505","","","","","","","","[{""page_index"":0,""viewing_time"":12849},{""page_index"":1,""viewing_time"":31943},{""page_index"":2,""viewing_time"":21712}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","286317","67131b8bef325ea544a658d0","1","53","2765","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","293326","67131b8bef325ea544a658d0","1","53","7005","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Peridotite","07","false","8","7","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","293843","67131b8bef325ea544a658d0","1","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","303045","67131b8bef325ea544a658d0","1","53","9199","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","2","class_response","0","test","2","Diorite","Pegmatite","11","false","3","6","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","303552","67131b8bef325ea544a658d0","1","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","308893","67131b8bef325ea544a658d0","1","53","5338","","","","","","","","","<img src= ""rock_img/I_Andesite_16.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","3","Pumice","Andesite","16","false","8","1","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","309407","67131b8bef325ea544a658d0","1","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","313501","67131b8bef325ea544a658d0","1","53","4091","","","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","6","class_response","0","test","4","Peridotite","Gabbro","10","false","7","4","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","314005","67131b8bef325ea544a658d0","1","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","317013","67131b8bef325ea544a658d0","1","53","3005","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","0","class_response","0","test","5","Andesite","Diorite","16","false","1","3","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","317527","67131b8bef325ea544a658d0","1","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","326469","67131b8bef325ea544a658d0","1","53","8939","","","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","1","class_response","0","test","6","Basalt","Peridotite","06","false","2","7","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","326983","67131b8bef325ea544a658d0","1","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","332061","67131b8bef325ea544a658d0","1","53","5075","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","7","Obsidian","Obsidian","10","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","332564","67131b8bef325ea544a658d0","1","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","335365","67131b8bef325ea544a658d0","1","53","2798","","","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","8","Pumice","Basalt","11","false","8","2","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","335872","67131b8bef325ea544a658d0","1","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","338677","67131b8bef325ea544a658d0","1","53","2802","","","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","3","class_response","0","test","9","Gabbro","Basalt","14","false","4","2","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","339189","67131b8bef325ea544a658d0","1","53","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","",""
