"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1536","695","true","chrome","130.0.0","false","Windows 10","true","144.96","true","true","browser-check","0","2.0.0","422","6718367356f7417faba214b3","1","9","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","296270","6718367356f7417faba214b3","1","9","295764","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","300169","6718367356f7417faba214b3","1","9","2892","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","300171","6718367356f7417faba214b3","1","9","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","302845","6718367356f7417faba214b3","1","9","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","352675","6718367356f7417faba214b3","1","9","49830","","","","","","","","[{""page_index"":0,""viewing_time"":7039},{""page_index"":1,""viewing_time"":24207},{""page_index"":2,""viewing_time"":18584}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","355532","6718367356f7417faba214b3","1","9","2855","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","358732","6718367356f7417faba214b3","1","9","3198","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Diorite","08","false","2","3","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","359243","6718367356f7417faba214b3","1","9","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","367363","6718367356f7417faba214b3","1","9","8119","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","3","class_response","0","test","2","Gabbro","Pegmatite","13","false","4","6","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","367869","6718367356f7417faba214b3","1","9","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","372292","6718367356f7417faba214b3","1","9","4422","","","","","","","","","<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>","4","class_response","0","test","3","Obsidian","Obsidian","14","true","5","5","",""
