width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Pegmatite,text_Peridotite,time_obs,time_resp,text_Basalt,text_Gabbro,text_Andesite,text_Diorite,time_fb1,time_fb2
1280,551,TRUE,chrome,131.0.0,FALSE,Windows 10,TRUE,58.86,TRUE,TRUE,browser-check,0,2.0.0,1037,66d88375799e00b593a8655f,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,external-html,1,2.0.0,58570,66d88375799e00b593a8655f,4,32,57473,consent_form.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fullscreen,2,2.0.0,61920,66d88375799e00b593a8655f,4,32,2345,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,call-function,3,2.0.0,61922,66d88375799e00b593a8655f,4,32,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,preload,4,2.0.0,63003,66d88375799e00b593a8655f,4,32,,,TRUE,,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,instructions,5,2.0.0,89492,66d88375799e00b593a8655f,4,32,26488,,,,,,,,"[{""page_index"":0,""viewing_time"":5433},{""page_index"":1,""viewing_time"":13206},{""page_index"":2,""viewing_time"":7849}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,6,2.0.0,94346,66d88375799e00b593a8655f,4,32,4852,,,,,,,,,,0,start_test,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,7,2.0.0,106862,66d88375799e00b593a8655f,4,32,12513,,,,,,,,,"<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>",0,class_response,0,test,1,Andesite,Peridotite,16,FALSE,1,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,8,2.0.0,107372,66d88375799e00b593a8655f,4,32,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,9,2.0.0,113719,66d88375799e00b593a8655f,4,32,6345,,,,,,,,,"<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>",7,class_response,0,test,2,Pumice,Diorite,8,FALSE,8,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,10,2.0.0,114232,66d88375799e00b593a8655f,4,32,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,2,,,,,,,,,,,,,,,,,,,,,,
