"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1536","695","true","chrome","131.0.0","false","Windows 10","true","60.21","true","true","browser-check","0","2.0.0","1011","6598ad7d742e25b376094227","1","21","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","121338","6598ad7d742e25b376094227","1","21","120217","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","125292","6598ad7d742e25b376094227","1","21","2951","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","125293","6598ad7d742e25b376094227","1","21","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","127942","6598ad7d742e25b376094227","1","21","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","202647","6598ad7d742e25b376094227","1","21","74705","","","","","","","","[{""page_index"":0,""viewing_time"":8594},{""page_index"":1,""viewing_time"":49137},{""page_index"":2,""viewing_time"":16973}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","208796","6598ad7d742e25b376094227","1","21","6148","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","219883","6598ad7d742e25b376094227","1","21","11085","","","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Andesite","02","false","8","1","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","220397","6598ad7d742e25b376094227","1","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","233115","6598ad7d742e25b376094227","1","21","12717","","","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","2","Basalt","Basalt","11","true","2","2","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","233618","6598ad7d742e25b376094227","1","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","239335","6598ad7d742e25b376094227","1","21","5716","","","","","","","","","<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Peridotite","12","false","3","7","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","239836","6598ad7d742e25b376094227","1","21","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
