width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Andesite,text_Basalt,time_obs,time_resp,text_Gabbro,time_fb1,time_fb2,text_Diorite,text_Pegmatite
1420,679,TRUE,chrome,129.0.0,FALSE,Mac OS,TRUE,61.09,TRUE,TRUE,browser-check,0,2.0.0,992,5c09a1171907db0001602601,4,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,external-html,1,2.0.0,7643,5c09a1171907db0001602601,4,33,6557,consent_form.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fullscreen,2,2.0.0,38598,5c09a1171907db0001602601,4,33,29944,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,call-function,3,2.0.0,38600,5c09a1171907db0001602601,4,33,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,preload,4,2.0.0,58907,5c09a1171907db0001602601,4,33,,,TRUE,,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,instructions,5,2.0.0,87958,5c09a1171907db0001602601,4,33,29049,,,,,,,,"[{""page_index"":0,""viewing_time"":5748},{""page_index"":1,""viewing_time"":13451},{""page_index"":2,""viewing_time"":9850}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,6,2.0.0,90156,5c09a1171907db0001602601,4,33,2196,,,,,,,,,,0,start_test,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,7,2.0.0,95756,5c09a1171907db0001602601,4,33,5598,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>",2,class_response,0,test,1,Diorite,Pegmatite,6,FALSE,3,6,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,8,2.0.0,96259,5c09a1171907db0001602601,4,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,9,2.0.0,100789,5c09a1171907db0001602601,4,33,4526,,,,,,,,,"<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>",6,class_response,0,test,2,Peridotite,Diorite,14,FALSE,7,3,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,10,2.0.0,101291,5c09a1171907db0001602601,4,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,11,2.0.0,104291,5c09a1171907db0001602601,4,33,2997,,,,,,,,,"<img src= ""rock_img/I_Diorite_02.jpg"" style=""width:8cm; height:6.27cm;""><p>What type of rock is this?</p>",0,class_response,0,test,3,Andesite,Diorite,2,FALSE,1,3,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,12,2.0.0,104793,5c09a1171907db0001602601,4,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,13,2.0.0,107455,5c09a1171907db0001602601,4,33,2659,,,,,,,,,"<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>",1,class_response,0,test,4,Basalt,Andesite,2,FALSE,2,1,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,14,2.0.0,107960,5c09a1171907db0001602601,4,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,15,2.0.0,110258,5c09a1171907db0001602601,4,33,2297,,,,,,,,,"<img src= ""rock_img/I_Peridotite_13.jpg"" style=""width:8cm; height:7.58cm;""><p>What type of rock is this?</p>",6,class_response,0,test,5,Peridotite,Peridotite,13,TRUE,7,7,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,16,2.0.0,110763,5c09a1171907db0001602601,4,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,17,2.0.0,112120,5c09a1171907db0001602601,4,33,1355,,,,,,,,,"<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>",4,class_response,0,test,6,Obsidian,Obsidian,12,TRUE,5,5,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,18,2.0.0,112623,5c09a1171907db0001602601,4,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,19,2.0.0,116107,5c09a1171907db0001602601,4,33,3481,,,,,,,,,"<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>",7,class_response,0,test,7,Pumice,Andesite,6,FALSE,8,1,,,,,,,,,,,,,,,
