"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Peridotite","time_obs","time_resp","text_Pegmatite","text_Basalt","text_Andesite","text_Diorite","time_fb1","time_fb2"
"1440","788","true","chrome","131.0.0","false","Mac OS","true","60.75","true","true","browser-check","0","2.0.0","1012","63c3068bd61c16717eeea2e5","4","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","5742","63c3068bd61c16717eeea2e5","4","46","4650","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","9431","63c3068bd61c16717eeea2e5","4","46","2685","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","9434","63c3068bd61c16717eeea2e5","4","46","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","11366","63c3068bd61c16717eeea2e5","4","46","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","30171","63c3068bd61c16717eeea2e5","4","46","18803","","","","","","","","[{""page_index"":0,""viewing_time"":4937},{""page_index"":1,""viewing_time"":8622},{""page_index"":2,""viewing_time"":5244}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","31678","63c3068bd61c16717eeea2e5","4","46","1505","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","38026","63c3068bd61c16717eeea2e5","4","46","6345","","","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Pegmatite","15","false","2","6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","38530","63c3068bd61c16717eeea2e5","4","46","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","43176","63c3068bd61c16717eeea2e5","4","46","4644","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","7","class_response","0","test","2","Pumice","Diorite","08","false","8","3","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","43678","63c3068bd61c16717eeea2e5","4","46","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","45663","63c3068bd61c16717eeea2e5","4","46","1983","","","","","","","","","<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>","4","class_response","0","test","3","Obsidian","Obsidian","09","true","5","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","46166","63c3068bd61c16717eeea2e5","4","46","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","49393","63c3068bd61c16717eeea2e5","4","46","3225","","","","","","","","","<img src= ""rock_img/I_Gabbro_11.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","5","class_response","0","test","4","Pegmatite","Gabbro","11","false","6","4","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","49896","63c3068bd61c16717eeea2e5","4","46","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","54841","63c3068bd61c16717eeea2e5","4","46","4943","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","5","Pumice","Pumice","04","true","8","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","55344","63c3068bd61c16717eeea2e5","4","46","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","","","","","","","",""
