"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1920","953","true","chrome","130.0.0","false","Windows 10","true","60.47","true","true","browser-check","0","2.0.0","1008","5c796f4b4855980016a15557","1","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","13358","5c796f4b4855980016a15557","1","12","12214","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","16002","5c796f4b4855980016a15557","1","12","1640","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","16003","5c796f4b4855980016a15557","1","12","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","19495","5c796f4b4855980016a15557","1","12","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","76148","5c796f4b4855980016a15557","1","12","56652","","","","","","","","[{""page_index"":0,""viewing_time"":5213},{""page_index"":1,""viewing_time"":41455},{""page_index"":2,""viewing_time"":9983}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","78080","5c796f4b4855980016a15557","1","12","1930","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","87728","5c796f4b4855980016a15557","1","12","9645","","","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Peridotite","02","false","2","7","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","88233","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","91819","5c796f4b4855980016a15557","1","12","3584","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","2","class_response","0","test","2","Diorite","Diorite","16","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","92334","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","99606","5c796f4b4855980016a15557","1","12","7271","","","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","5","class_response","0","test","3","Pegmatite","Basalt","02","false","6","2","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","100110","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","102269","5c796f4b4855980016a15557","1","12","2157","","","","","","","","","<img src= ""rock_img/I_Gabbro_11.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","6","class_response","0","test","4","Peridotite","Gabbro","11","false","7","4","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","102785","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","106086","5c796f4b4855980016a15557","1","12","3300","","","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","0","class_response","0","test","5","Andesite","Pegmatite","16","false","1","6","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","106593","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","108174","5c796f4b4855980016a15557","1","12","1579","","","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","0","test","6","Pumice","Pumice","03","true","8","8","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","108681","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","114197","5c796f4b4855980016a15557","1","12","5514","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","3","class_response","0","test","7","Gabbro","Pumice","04","false","4","8","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","114699","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","118036","5c796f4b4855980016a15557","1","12","3335","","","","","","","","","<img src= ""rock_img/I_Basalt_01.jpg"" style=""width:8cm; height:7.880000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","8","Basalt","Basalt","01","true","2","2","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","118552","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","121252","5c796f4b4855980016a15557","1","12","2698","","","","","","","","","<img src= ""rock_img/I_Diorite_07.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","9","Diorite","Diorite","07","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","121760","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","125378","5c796f4b4855980016a15557","1","12","3617","","","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","4","class_response","0","test","10","Obsidian","Peridotite","16","false","5","7","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","125880","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","129470","5c796f4b4855980016a15557","1","12","3589","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","0","test","11","Obsidian","Obsidian","06","true","5","5","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","129974","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","132362","5c796f4b4855980016a15557","1","12","2387","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","2","class_response","0","test","12","Diorite","Diorite","08","true","3","3","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","132872","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","134234","5c796f4b4855980016a15557","1","12","1361","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","5","class_response","0","test","13","Pegmatite","Obsidian","07","false","6","5","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","134740","5c796f4b4855980016a15557","1","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","",""
