"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","time_fb1","time_fb2"
"1232","594","true","edge-chromium","131.0.0","false","Windows 10","true","59.89","true","true","browser-check","0","2.0.0","1029","64e8a63d30b3b5fbf590c6a7","2","13","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","23689","64e8a63d30b3b5fbf590c6a7","2","13","22550","consent_form.html","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","26871","64e8a63d30b3b5fbf590c6a7","2","13","2176","","true","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","26876","64e8a63d30b3b5fbf590c6a7","2","13","","","","{}","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","32812","64e8a63d30b3b5fbf590c6a7","2","13","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","114907","64e8a63d30b3b5fbf590c6a7","2","13","82093","","","","","","","","[{""page_index"":0,""viewing_time"":27763},{""page_index"":1,""viewing_time"":45819},{""page_index"":2,""viewing_time"":8511}]","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","119053","64e8a63d30b3b5fbf590c6a7","2","13","4143","","","","","","","","","","0","start_test","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","141507","64e8a63d30b3b5fbf590c6a7","2","13","22450","","","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","3","class_response","0","test","1","Gabbro","Gabbro","12","true","4","4","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","142016","64e8a63d30b3b5fbf590c6a7","2","13","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","149813","64e8a63d30b3b5fbf590c6a7","2","13","7794","","","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Obsidian","02","true","5","5","",""
