"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Diorite","text_Gabbro","time_resp","text_Pegmatite","text_Peridotite"
"1528","704","true","edge-chromium","131.0.0","false","Windows 10","true","60.08","true","true","browser-check","0","2.0.0","1010","614f297777d0d8f5e2a5b354","3","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","25176","614f297777d0d8f5e2a5b354","3","39","24079","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","29730","614f297777d0d8f5e2a5b354","3","39","3547","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","29733","614f297777d0d8f5e2a5b354","3","39","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","32742","614f297777d0d8f5e2a5b354","3","39","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","68061","614f297777d0d8f5e2a5b354","3","39","35318","","","","","","","","[{""page_index"":0,""viewing_time"":6790},{""page_index"":1,""viewing_time"":19547},{""page_index"":2,""viewing_time"":8981}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","69940","614f297777d0d8f5e2a5b354","3","39","1877","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","78645","614f297777d0d8f5e2a5b354","3","39","8704","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","7","class_response","0","test","1","Pumice","Pegmatite","06","false","8","6","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","79146","614f297777d0d8f5e2a5b354","3","39","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","84120","614f297777d0d8f5e2a5b354","3","39","4973","","","","","","","","","<img src= ""rock_img/I_Basalt_01.jpg"" style=""width:8cm; height:7.880000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","2","Basalt","Basalt","01","true","2","2","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","84622","614f297777d0d8f5e2a5b354","3","39","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","91048","614f297777d0d8f5e2a5b354","3","39","6425","","","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","5","class_response","0","test","3","Pegmatite","Basalt","02","false","6","2","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","91551","614f297777d0d8f5e2a5b354","3","39","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","94280","614f297777d0d8f5e2a5b354","3","39","2728","","","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","4","class_response","0","test","4","Obsidian","Obsidian","05","true","5","5","","","","","","","","","","","",""
