"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num"
"1925","885","true","chrome","126.0.0","false","Windows 10","true","65.31","true","true","browser-check","0","2.0.0","929","66fc0d1538357d2081dda6b9","3","38","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","5953","66fc0d1538357d2081dda6b9","3","38","4941","consent_form.html","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","8599","66fc0d1538357d2081dda6b9","3","38","1627","","true","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","8602","66fc0d1538357d2081dda6b9","3","38","","","","{}","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","10833","66fc0d1538357d2081dda6b9","3","38","","","true","","false","[]","[]","[]","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","46008","66fc0d1538357d2081dda6b9","3","38","35173","","","","","","","","[{""page_index"":0,""viewing_time"":6880},{""page_index"":1,""viewing_time"":22656},{""page_index"":2,""viewing_time"":5637}]","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","48491","66fc0d1538357d2081dda6b9","3","38","2481","","","","","","","","","","0","start_test","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","53815","66fc0d1538357d2081dda6b9","3","38","5322","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","1","Basalt","Pumice","04","false","2","8"
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","54326","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","56463","66fc0d1538357d2081dda6b9","3","38","2134","","","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","2","class_response","0","test","2","Diorite","Peridotite","06","false","3","7"
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","56972","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","58232","66fc0d1538357d2081dda6b9","3","38","1257","","","","","","","","","<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","5","class_response","0","test","3","Pegmatite","Pegmatite","07","true","6","6"
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","58747","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","65096","66fc0d1538357d2081dda6b9","3","38","6347","","","","","","","","","<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>","0","class_response","0","test","4","Andesite","Diorite","09","false","1","3"
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","65598","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","67016","66fc0d1538357d2081dda6b9","3","38","1416","","","","","","","","","<img src= ""rock_img/I_Andesite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","3","class_response","0","test","5","Gabbro","Andesite","10","false","4","1"
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","67518","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","69162","66fc0d1538357d2081dda6b9","3","38","1642","","","","","","","","","<img src= ""rock_img/I_Basalt_12.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","6","Pumice","Basalt","12","false","8","2"
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","69677","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","71615","66fc0d1538357d2081dda6b9","3","38","1935","","","","","","","","","<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>","6","class_response","0","test","7","Peridotite","Obsidian","08","false","7","5"
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","72127","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","73336","66fc0d1538357d2081dda6b9","3","38","1206","","","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","5","class_response","0","test","8","Pegmatite","Pegmatite","08","true","6","6"
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","73840","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","75621","66fc0d1538357d2081dda6b9","3","38","1779","","","","","","","","","<img src= ""rock_img/I_Pumice_10.jpg"" style=""width:8cm; height:7.609999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","9","Pumice","Pumice","10","true","8","8"
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","76138","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","78855","66fc0d1538357d2081dda6b9","3","38","2716","","","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","2","class_response","0","test","10","Diorite","Basalt","14","false","3","2"
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","79362","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","80192","66fc0d1538357d2081dda6b9","3","38","828","","","","","","","","","<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>","1","class_response","0","test","11","Basalt","Obsidian","14","false","2","5"
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","80701","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","82527","66fc0d1538357d2081dda6b9","3","38","1823","","","","","","","","","<img src= ""rock_img/I_Gabbro_11.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","0","class_response","0","test","12","Andesite","Gabbro","11","false","1","4"
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","83040","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","84250","66fc0d1538357d2081dda6b9","3","38","1208","","","","","","","","","<img src= ""rock_img/I_Pumice_06.jpg"" style=""width:8cm; height:6.9399999999999995cm;""><p>What type of rock is this?</p>","4","class_response","0","test","13","Obsidian","Pumice","06","false","5","8"
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","84752","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","85420","66fc0d1538357d2081dda6b9","3","38","667","","","","","","","","","<img src= ""rock_img/I_Basalt_06.jpg"" style=""width:8cm; height:7.06cm;""><p>What type of rock is this?</p>","5","class_response","0","test","14","Pegmatite","Basalt","06","false","6","2"
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","85922","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","86930","66fc0d1538357d2081dda6b9","3","38","1006","","","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","6","class_response","0","test","15","Peridotite","Peridotite","14","true","7","7"
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","87436","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","89007","66fc0d1538357d2081dda6b9","3","38","1570","","","","","","","","","<img src= ""rock_img/I_Pumice_15.jpg"" style=""width:8cm; height:7.86cm;""><p>What type of rock is this?</p>","3","class_response","0","test","16","Gabbro","Pumice","15","false","4","8"
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","89518","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","91412","66fc0d1538357d2081dda6b9","3","38","1892","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","17","Pumice","Andesite","14","false","8","1"
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","91927","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","93688","66fc0d1538357d2081dda6b9","3","38","1759","","","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","2","class_response","0","test","18","Diorite","Gabbro","14","false","3","4"
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","94190","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","95192","66fc0d1538357d2081dda6b9","3","38","1000","","","","","","","","","<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","19","Basalt","Pumice","13","false","2","8"
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","95694","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","96755","66fc0d1538357d2081dda6b9","3","38","1058","","","","","","","","","<img src= ""rock_img/I_Obsidian_04.jpg"" style=""width:8cm; height:6.930000000000001cm;""><p>What type of rock is this?</p>","5","class_response","0","test","20","Pegmatite","Obsidian","04","false","6","5"
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","97271","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","",""
