"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Andesite","text_Diorite","time_obs","time_resp","text_Gabbro"
"1280","541","true","chrome","130.0.0","false","Windows 10","true","60.53","true","true","browser-check","0","2.0.0","1010","6556e5fa9feed5dca96b6dcd","4","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","10806","6556e5fa9feed5dca96b6dcd","4","6","9729","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","15809","6556e5fa9feed5dca96b6dcd","4","6","3997","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","15811","6556e5fa9feed5dca96b6dcd","4","6","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","24450","6556e5fa9feed5dca96b6dcd","4","6","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","54977","6556e5fa9feed5dca96b6dcd","4","6","30526","","","","","","","","[{""page_index"":0,""viewing_time"":3111},{""page_index"":1,""viewing_time"":11968},{""page_index"":2,""viewing_time"":15447}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","56809","6556e5fa9feed5dca96b6dcd","4","6","1830","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","61079","6556e5fa9feed5dca96b6dcd","4","6","4267","","","","","","","","","<img src= ""rock_img/I_Basalt_16.jpg"" style=""width:8cm; height:7.659999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","1","Andesite","Basalt","16","false","1","2","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","61585","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","68548","6556e5fa9feed5dca96b6dcd","4","6","6961","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","6","class_response","0","test","2","Peridotite","Gabbro","03","false","7","4","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","69052","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","74214","6556e5fa9feed5dca96b6dcd","4","6","5159","","","","","","","","","<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","3","Pumice","Gabbro","09","false","8","4","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","74721","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","82908","6556e5fa9feed5dca96b6dcd","4","6","8185","","","","","","","","","<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","6","class_response","0","test","4","Peridotite","Gabbro","15","false","7","4","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","83411","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","91362","6556e5fa9feed5dca96b6dcd","4","6","7949","","","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","0","class_response","0","test","5","Andesite","Diorite","14","false","1","3","","","","","","","","","","",""
