"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Andesite","text_Gabbro","time_obs","time_resp","text_Basalt","text_Peridotite","text_Pumice","time_fb1","time_fb2","text_Pegmatite"
"1536","730","true","chrome","130.0.0","false","Windows 10","true","121.9","true","true","browser-check","0","2.0.0","501","6638d4e576c0a53f8aa1b9e4","4","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","14299","6638d4e576c0a53f8aa1b9e4","4","30","13586","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","18203","6638d4e576c0a53f8aa1b9e4","4","30","2897","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","18205","6638d4e576c0a53f8aa1b9e4","4","30","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","64834","6638d4e576c0a53f8aa1b9e4","4","30","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","85235","6638d4e576c0a53f8aa1b9e4","4","30","20399","","","","","","","","[{""page_index"":0,""viewing_time"":6016},{""page_index"":1,""viewing_time"":7130},{""page_index"":2,""viewing_time"":7253}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","87072","6638d4e576c0a53f8aa1b9e4","4","30","1833","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","93009","6638d4e576c0a53f8aa1b9e4","4","30","5934","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","4","class_response","0","test","1","Obsidian","Peridotite","07","false","5","7","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","93511","6638d4e576c0a53f8aa1b9e4","4","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","98406","6638d4e576c0a53f8aa1b9e4","4","30","4893","","","","","","","","","<img src= ""rock_img/I_Andesite_01.jpg"" style=""width:8cm; height:5.87cm;""><p>What type of rock is this?</p>","4","class_response","0","test","2","Obsidian","Andesite","01","false","5","1","","","","","","","","","","","","","","","",""
