participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,1,1,1,0.371487879,0.271279724,1,0,0,2.4111,Basalt_09,2,09,5,7,2.411,2,09,-0.070123065,-0.253208415,1,0,0,3.3019,Basalt_rect,2,3.302,1,0,0,0,0,1,,,,,,,,,,,,,
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,1,1,2,-0.544273009,0.094054837,1,0,0,1.8978,Peridotite_02,7,02,4,1,1.898,7,02,0.093814087,-0.231478204,1,0,0,3.7916,Diorite_rect,3,3.792,0,1,0,1,0,1,,,,,,,,,,,,,
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,1,1,3,0.081837746,-0.37708079,1,0,0,2.0649,Pumice_16,8,16,1,5,2.065,8,16,0.399426496,-0.394614665,1,0,0,1.8588,Pumice_rect,8,1.859,1,2,0,2,0,1,,,,,,,,,,,,,
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,1,1,4,-0.438667863,0.054773769,1,0,0,2.4985,Andesite_10,1,10,4,2,2.498,1,10,-0.413034792,-0.390631047,1,0,0,3.1584,Obsidian_rect,5,3.158,0,3,0,3,0,1,,,,,,,,,,,,,
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,1,1,5,-0.094378832,-0.11328012,1,0,0,3.5813,Diorite_10,3,10,3,4,3.581,3,10,-0.164868729,-0.255703453,1,0,0,6.8922,Basalt_rect,2,6.892,0,4,0,4,0,1,,,,,,,,,,,,,
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,1,1,6,-0.537482481,-0.088749864,1,0,0,1.4474,Andesite_16,1,16,3,1,1.447,1,16,-0.465055339,-0.248217039,1,0,0,2.1927,Andesite_rect,1,2.193,1,5,0,5,0,1,,,,,,,,,,,,,
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,1,1,7,-0.427968456,0.392959934,1,0,0,2.9301,Pegmatite_06,6,06,6,2,2.93,6,06,-0.140524801,-0.395827456,1,0,0,2.7602,Pegmatite_rect,6,2.76,1,6,0,6,0,1,,,,,,,,,,,,,
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,1,1,8,0.09609974,-0.110642271,1,0,0,1.2815,Diorite_13,3,13,3,5,1.281,3,13,0.40986509,-0.255785003,1,0,0,5.0422,Gabbro_rect,4,5.042,0,7,0,7,0,1,,,,,,,,,,,,,
5596ab22fdf99b2d3a68c840,SCR,2024-06-24_14h48.01.370,LearnStrategy,2023.2.3,MacIntel,56.49717514,1,1,9,0.064715237,0.070885468,1,0,0,1.1304,Gabbro_14,4,14,4,5,1.13,4,14,-0.376696382,-0.398302771,1,0,0,5.2926,Obsidian_rect,5,5.293,0,8,0,8,0,1,,,,,,,,,,,,,
