participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.542592593,0.389814808,1,0,0,3.1772,Obsidian_12,5,12,6,1,3.177,0.374074187,-0.385185185,1,0,0,7.251,Pumice_rect,8,7.251,0,0,0,0,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.37962963,0.423148148,1,0,0,5.2469,Diorite_07,3,07,6,2,5.247,0.435185185,-0.387962963,1,0,0,7.2418,Pumice_rect,8,7.242,0,1,0,1,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.096296296,0.386111111,1,0,0,4.8051,Gabbro_03,4,03,6,5,4.805,0.393518519,-0.238888889,1,0,0,5.4492,Gabbro_rect,4,5.449,1,2,0,2,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.225,-0.277777778,1,0,0,5.5503,Pumice_08,8,08,2,6,5.55,-0.139814815,-0.231481481,1,0,0,7.0981,Basalt_rect,2,7.098,0,3,0,3,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.075925926,-0.291666667,1,0,0,9.0041,Pegmatite_10,6,10,2,5,9.004,0.174074074,-0.380555556,1,0,0,4.5851,Peridotite_rect,7,4.585,0,4,0,4,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.538888889,-0.122222279,1,0,0,3.512,Pegmatite_11,6,11,3,1,3.512,-0.162037037,-0.393518519,1,0,0,4.1323,Pegmatite_rect,6,4.132,1,5,0,5,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.264814815,0.427777778,1,0,0,3.7549,Obsidian_09,5,09,6,6,3.755,-0.383333333,-0.418518575,1,0,0,1.9467,Obsidian_rect,5,1.947,1,6,0,6,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.547222222,-0.419444444,1,0,0,6.3291,Gabbro_11,4,11,1,1,6.329,0.447222222,-0.267592593,1,0,0,2.1416,Gabbro_rect,4,2.142,1,7,0,7,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.059259259,-0.105555556,1,0,0,4.5131,Basalt_08,2,08,3,5,4.513,0.12962963,-0.22962963,1,0,0,3.1746,Diorite_rect,3,3.175,0,8,0,8,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.549074074,0.251851852,1,0,0,4.6284,Pumice_09,8,09,5,8,4.628,-0.412037037,-0.260185185,1,0,0,7.8307,Andesite_rect,1,7.831,0,9,0,9,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,0.259259259,0.106481481,1,0,0,1.6018,Basalt_16,2,16,4,6,1.602,-0.147222222,-0.249074074,1,0,0,6.6244,Basalt_rect,2,6.624,1,10,0,10,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0.559259372,0.091666638,1,0,0,2.0994,Peridotite_13,7,13,4,8,2.099,0.126851852,-0.256481538,1,0,0,3.7923,Diorite_rect,3,3.792,0,11,0,11,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,-0.100925926,-0.255555556,1,0,0,3.1155,Basalt_04,2,04,2,4,3.115,-0.144444444,-0.253703704,1,0,0,2.7608,Basalt_rect,2,2.761,1,12,0,12,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,-0.222222222,0.241666667,1,0,0,1.9391,Andesite_02,1,02,5,3,1.939,0.12037037,-0.261111168,1,0,0,9.257,Diorite_rect,3,9.257,0,13,0,13,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,-0.400925926,0.427777778,1,0,0,1.9953,Diorite_07,3,07,6,2,1.995,-0.366666667,-0.246296296,1,0,0,2.0728,Andesite_rect,1,2.073,0,14,0,14,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,0.408333333,-0.237037037,1,0,0,2.9465,Andesite_07,1,07,2,7,2.947,0.128703704,-0.256481538,1,0,0,2.0891,Diorite_rect,3,2.089,0,15,0,15,0,1,,,,,,,,,,,,,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,5,08,,,,,,,,,,,5,9.314,1,,,,,,-0.380555556,-0.402777778,1,0,0,9.3136,Obsidian_rect,0,0,0,0,1,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,2,,,,,,,,7,10,,,,,,,,,,,1,19.873,0,,,,,,-0.416666667,-0.269444444,1,0,0,19.8729,Andesite_rect,1,0,1,0,1,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,3,,,,,,,,2,10,,,,,,,,,,,2,3.669,1,,,,,,-0.102777778,-0.269444444,1,0,0,3.6687,Basalt_rect,2,0,2,0,1,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,4,,,,,,,,4,15,,,,,,,,,,,3,6.377,0,,,,,,0.173148148,-0.236111111,1,0,0,6.3772,Diorite_rect,3,0,3,0,1,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,5,,,,,,,,8,16,,,,,,,,,,,8,3.505,1,,,,,,0.458333333,-0.388888889,1,0,0,3.5052,Pumice_rect,4,0,4,0,1,
55d4d11258c35800113dc2ab,SCN,2024-06-25_12h46.42.014,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,6,,,,,,,,7,07,,,,,,,,,,,7,4.265,1,,,,,,0.058333333,-0.393518519,1,0,0,4.2654,Peridotite_rect,5,0,5,0,1,
