participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.200925968,0.070370356,1,0,0,3.1526,Pegmatite_10,6,10,4,6,3.153,3,11,0.146296325,-0.234259288,1,0,0,4.3982,Diorite_rect,3,4.398,0,0,0,0,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.247222194,0.249074071,1,0,0,2.3204,Obsidian_07,5,07,5,3,2.32,8,16,-0.354629623,-0.408333319,1,0,0,4.9667,Obsidian_rect,5,4.967,1,1,0,1,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.402777778,-0.233333376,1,0,0,3.0806,Pumice_16,8,16,2,7,3.081,6,08,-0.12037037,-0.24537037,1,0,0,2.3177,Basalt_rect,2,2.318,0,2,0,2,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.034259231,0.080555563,1,0,0,1.0797,Basalt_11,2,11,4,4,1.08,2,02,-0.089814787,-0.243518547,1,0,0,1.6414,Basalt_rect,2,1.641,1,3,0,3,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.074074074,0.26203703,1,0,0,3.1312,Peridotite_02,7,02,5,5,3.131,7,02,0.10092594,-0.252777806,1,0,0,1.4026,Diorite_rect,3,1.403,0,4,0,4,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.502777771,0.092592593,1,0,0,2.0374,Andesite_11,1,11,4,1,2.037,1,11,0.348148205,-0.260185171,1,0,0,3.3688,Gabbro_rect,4,3.369,0,5,0,5,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.212962963,-0.248148176,1,0,0,1.4799,Obsidian_11,5,11,2,6,1.48,5,11,-0.357407393,-0.39444443,1,0,0,2.4419,Obsidian_rect,5,2.442,1,6,0,6,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,-0.215740698,-0.402777778,1,0,0,1.3273,Obsidian_02,5,02,1,3,1.327,5,02,-0.364814794,-0.39444443,1,0,0,1.1398,Obsidian_rect,5,1.14,1,7,0,7,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.209259245,0.26203703,1,0,0,2.7481,Gabbro_13,4,13,5,6,2.748,4,13,0.150925954,-0.25,1,0,0,2.8254,Diorite_rect,3,2.825,0,8,0,8,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,0.544444473,0.397222219,1,0,0,1.6973,Pumice_15,8,15,6,8,1.697,8,15,0.356481481,-0.39444443,1,0,0,5.475,Pumice_rect,8,5.475,1,9,0,9,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,-0.041666667,0.086111104,1,0,0,1.0471,Basalt_11,2,11,4,4,1.047,2,11,-0.083333333,-0.25,1,0,0,0.9323,Basalt_rect,2,0.932,1,10,0,10,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,0.385185242,0.411111108,1,0,0,1.303,Gabbro_08,4,08,6,7,1.303,4,08,0.133333347,-0.249074088,1,0,0,2.0487,Diorite_rect,3,2.049,0,11,0,11,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,-0.064814815,-0.265740783,1,0,0,1.0466,Diorite_13,3,13,2,4,1.047,3,13,0.112963005,-0.263888889,1,0,0,2.475,Diorite_rect,3,2.475,1,12,0,12,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,-0.062037009,-0.419444473,1,0,0,1.0142,Pegmatite_05,6,05,1,4,1.014,6,05,-0.030555513,-0.409259302,1,0,0,1.8899,Pegmatite_rect,6,1.89,1,13,0,13,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,-0.059259273,0.392592589,1,0,0,1.1309,Andesite_02,1,02,6,4,1.131,1,02,0.050925926,-0.237037023,1,0,0,1.596,Diorite_rect,3,1.596,0,14,0,14,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,0.538888861,0.2462963,1,0,0,1.1474,Peridotite_15,7,15,5,8,1.147,7,15,0.231481481,-0.413888931,1,0,0,1.4942,Peridotite_rect,7,1.494,1,15,0,15,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,6,16,,,,,,,,,,,,,6,4.003,1,,,,,,-0.10555557,-0.412962949,1,0,0,4.0032,Pegmatite_rect,0,0,0,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,5,08,,,,,,,,,,,,,5,1.664,1,,,,,,-0.412037037,-0.414814843,1,0,0,1.6636,Obsidian_rect,1,0,1,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,7,13,,,,,,,,,,,,,7,1.336,1,,,,,,0.152777778,-0.40370369,1,0,0,1.336,Peridotite_rect,2,0,2,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,2,01,,,,,,,,,,,,,2,2.471,1,,,,,,-0.084259245,-0.255555541,1,0,0,2.4707,Basalt_rect,3,0,3,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,2,12,,,,,,,,,,,,,4,4.55,0,,,,,,0.384259259,-0.235185199,1,0,0,4.5501,Gabbro_rect,4,0,4,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,4,10,,,,,,,,,,,,,2,2.729,0,,,,,,-0.09629631,-0.256481524,1,0,0,2.729,Basalt_rect,5,0,5,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,5,05,,,,,,,,,,,,,1,5.132,0,,,,,,-0.327777757,-0.268518519,1,0,0,5.1317,Andesite_rect,6,0,6,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,8,,,,,,,,7,06,,,,,,,,,,,,,7,1.301,1,,,,,,0.146296325,-0.384259259,1,0,0,1.3011,Peridotite_rect,7,0,7,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,9,,,,,,,,1,14,,,,,,,,,,,,,3,3.887,0,,,,,,0.109259288,-0.24537037,1,0,0,3.887,Diorite_rect,8,0,8,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,10,,,,,,,,6,09,,,,,,,,,,,,,3,5.672,0,,,,,,0.109259288,-0.24537037,1,0,0,5.6717,Diorite_rect,9,0,9,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,11,,,,,,,,3,08,,,,,,,,,,,,,1,1.817,0,,,,,,-0.366666653,-0.262962977,1,0,0,1.8172,Andesite_rect,10,0,10,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,12,,,,,,,,3,15,,,,,,,,,,,,,3,7.957,1,,,,,,0.141666695,-0.247222265,1,0,0,7.9568,Diorite_rect,11,0,11,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,13,,,,,,,,8,09,,,,,,,,,,,,,8,3.192,1,,,,,,0.365740741,-0.397222236,1,0,0,3.1917,Pumice_rect,12,0,12,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,14,,,,,,,,1,04,,,,,,,,,,,,,1,4.465,1,,,,,,-0.376851859,-0.262962977,1,0,0,4.4655,Andesite_rect,13,0,13,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,15,,,,,,,,4,01,,,,,,,,,,,,,2,1.535,0,,,,,,-0.17314812,-0.265740783,1,0,0,1.5345,Basalt_rect,14,0,14,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,16,,,,,,,,8,06,,,,,,,,,,,,,8,1.61,1,,,,,,0.419444473,-0.398148148,1,0,0,1.6096,Pumice_rect,15,0,15,0,1,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,1,-0.51666666,-0.398148148,1,0,0,1.8236,Diorite_09,3,09,1,1,1.824,3,09,-0.436111097,-0.260185171,1,0,0,1.7771,Andesite_rect,1,1.777,0,0,0,0,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,2,0.095370399,-0.39907406,1,0,0,1.1971,Andesite_05,1,05,1,5,1.197,1,05,0.079629616,-0.262962977,1,0,0,1.4552,Diorite_rect,3,1.455,0,1,0,1,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,3,0.399074131,0.271296289,1,0,0,1.2474,Gabbro_11,4,11,5,7,1.247,4,11,-0.065740727,-0.234259288,1,0,0,1.7245,Basalt_rect,2,1.725,0,2,0,2,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,4,0.258333347,-0.102777764,1,0,0,2.9486,Peridotite_12,7,12,3,6,2.949,4,11,0.166666667,-0.413888931,1,0,0,2.2292,Peridotite_rect,7,2.229,1,3,0,3,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,5,0.053703732,-0.242592635,1,0,0,1.0639,Andesite_06,1,06,2,5,1.064,1,06,0.093518504,-0.235185199,1,0,0,1.5419,Diorite_rect,3,1.542,0,4,0,4,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,6,0.05740745,-0.393518519,1,0,0,1.0651,Andesite_05,1,05,1,5,1.065,1,05,0.060185185,-0.236111111,1,0,0,1.3416,Diorite_rect,3,1.342,0,5,0,5,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,7,-0.064814815,-0.37962963,1,0,0,1.0635,Pegmatite_05,6,05,1,4,1.063,6,05,-0.064814815,-0.37962963,1,0,0,1.6104,Pegmatite_rect,6,1.61,1,6,0,6,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,8,-0.031481496,-0.25462963,1,0,0,1.0816,Diorite_13,3,13,2,4,1.082,3,13,0.14444443,-0.265740783,1,0,0,3.0205,Diorite_rect,3,3.021,1,7,0,7,0,1,,,,,,,,,,,,,
56259489ed6e5a0005c80fde,SCR,2024-06-11_12h32.04.319,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,9,-0.424999979,0.087962963,1,0,0,2.7653,Gabbro_09,4,09,4,2,2.765,5,10,-0.112962935,-0.23055557,1,0,0,1.5833,Basalt_rect,2,1.583,0,8,0,8,0,1,,,,,,,,,,,,,
