participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.555555556,0.419444444,1,0,0,5.675,Diorite_13,3,13,6,1,5.675,-0.378703704,-0.249074074,1,0,0,39.0168,Andesite_rect,1,39.017,0,0,0,0,0,1,,,,,,,,,,,,,
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.565740741,-0.417592593,1,0,0,16.0986,Obsidian_02,5,02,1,1,16.099,-0.151851852,-0.256481481,1,0,0,3.3392,Basalt_rect,2,3.339,0,1,0,1,0,1,,,,,,,,,,,,,
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.223148148,0.387962963,1,0,0,5.2984,Pumice_16,8,16,6,3,5.298,0.371296296,-0.405555556,1,0,0,3.6895,Pumice_rect,8,3.69,1,2,0,2,0,1,,,,,,,,,,,,,
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.048148148,0.383333333,1,0,0,1.8648,Pegmatite_10,6,10,6,4,1.865,0.400925926,-0.239814815,1,0,0,1.8781,Gabbro_rect,4,1.878,0,3,0,3,0,1,,,,,,,,,,,,,
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.390740741,0.111111111,1,0,0,2.1832,Obsidian_06,5,06,4,7,2.183,-0.37037037,-0.238888889,1,0,0,2.8276,Andesite_rect,1,2.828,0,4,0,4,0,1,,,,,,,,,,,,,
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.562037037,-0.432407407,1,0,0,9.282,Pegmatite_16,6,16,1,8,9.282,-0.375,-0.260185185,1,0,0,3.7228,Andesite_rect,1,3.723,0,5,0,5,0,1,,,,,,,,,,,,,
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.212037037,-0.093518519,1,0,0,2.2483,Diorite_02,3,02,3,3,2.248,0.082407407,-0.410185185,1,0,0,1.2779,Peridotite_rect,7,1.278,0,6,0,6,0,1,,,,,,,,,,,,,
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.571296296,0.263888889,1,0,0,14.1993,Basalt_01,2,01,5,8,14.199,0.409259259,-0.235185185,1,0,0,6.5068,Gabbro_rect,4,6.507,0,7,0,7,0,1,,,,,,,,,,,,,
5639a8adbe9cac000daaa30f,SCN,2024-06-11_12h24.34.753,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.216666667,-0.234259259,1,0,0,9.4985,Pegmatite_06,6,06,2,3,9.498,0.203703704,-0.401851852,1,0,0,6.2565,Peridotite_rect,7,6.257,0,8,0,8,0,1,,,,,,,,,,,,,
