participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.237962963,-0.097222222,1,0,0,2.4081,Peridotite_13,7,13,3,6,2.408,8,10,0.135185185,-0.239814815,1,0,0,2.3513,Diorite_rect,3,2.351,0,0,0,0,0,1,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.213888889,0.09537037,1,0,0,1.5977,Gabbro_12,4,12,4,3,1.598,2,05,-0.117592593,-0.409259259,1,0,0,3.1744,Pegmatite_rect,6,3.174,0,1,0,1,0,1,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.082407407,0.248148148,1,0,0,1.88,Pegmatite_03,6,03,5,4,1.88,4,16,-0.380555556,-0.253703704,1,0,0,2.4075,Andesite_rect,1,2.407,0,2,0,2,0,1,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.260185185,0.241666667,1,0,0,1.4645,Pumice_16,8,16,5,6,1.465,5,09,0.142592593,-0.243518519,1,0,0,0.9743,Diorite_rect,3,0.974,0,3,0,3,0,1,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.060185185,-0.1,1,0,0,1.3314,Obsidian_16,5,16,3,4,1.331,3,02,-0.342592593,-0.405555556,1,0,0,2.8231,Obsidian_rect,5,2.823,1,4,0,4,0,1,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.080555556,0.090740741,1,0,0,1.2965,Basalt_04,2,04,4,5,1.296,7,13,-0.09537037,-0.22962963,1,0,0,1.0144,Basalt_rect,2,1.014,1,5,0,5,0,1,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.224074074,0.1,1,0,0,1.2296,Pegmatite_11,6,11,4,6,1.23,1,10,0.14537037,-0.241666667,1,0,0,1.1308,Diorite_rect,3,1.131,0,6,0,6,0,1,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.233333333,0.265740741,1,0,0,1.3487,Pegmatite_10,6,10,5,3,1.349,7,14,0.411111111,-0.241666667,1,0,0,2.8579,Gabbro_rect,4,2.858,0,7,0,7,0,1,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.387037037,0.249074074,1,0,0,0.9802,Gabbro_09,4,09,5,2,0.98,1,05,-0.419444444,-0.393518519,1,0,0,1.764,Obsidian_rect,5,1.764,0,8,0,8,0,1,,,,,,,,,,,,,
582c71a66ef28c00019a1068,SCR,2024-06-24_18h01.02.100,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,-0.25,-0.408333333,1,0,0,2.5673,Pumice_10,8,10,1,3,2.567,8,06,0.156481481,-0.39537037,1,0,0,1.1233,Peridotite_rect,7,1.123,0,9,0,9,0,1,,,,,,,,,,,,,
