participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,-0.547222208,0.388888889,1,0,0,5.1545,Basalt_02,2,02,6,1,5.154,-0.37962963,-0.256481524,1,0,0,17.6307,Andesite_rect,1,17.631,0,0,0,0,0,1,,,,,,,,,,,,,
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,-0.366666653,0.416666667,1,0,0,3.4672,Gabbro_08,4,08,6,2,3.467,0.419444473,-0.412037037,1,0,0,5.5822,Pumice_rect,8,5.582,0,1,0,1,0,1,,,,,,,,,,,,,
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,-0.212037051,0.382407409,1,0,0,2.2157,Pegmatite_09,6,09,6,3,2.216,-0.421296296,-0.239814829,1,0,0,12.4547,Andesite_rect,1,12.455,0,2,0,2,0,1,,,,,,,,,,,,,
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,-0.061111097,0.37777778,1,0,0,2.9986,Basalt_14,2,14,6,4,2.999,0.114814829,-0.256481524,1,0,0,10.157,Diorite_rect,3,10.157,0,3,0,3,0,1,,,,,,,,,,,,,
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,0.080555598,0.399074069,1,0,0,2.3484,Pumice_06,8,06,6,5,2.348,-0.40370369,-0.238888917,1,0,0,8.0427,Andesite_rect,1,8.043,0,4,0,4,0,1,,,,,,,,,,,,,
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,0.235185199,0.38518518,1,0,0,1.9964,Diorite_08,3,08,6,6,1.996,0.078703704,-0.405555584,1,0,0,2.8269,Peridotite_rect,7,2.827,0,5,0,5,0,1,,,,,,,,,,,,,
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,0.37962963,0.392592589,1,0,0,2.0158,Peridotite_02,7,02,6,7,2.016,0.114814829,-0.406481496,1,0,0,3.8253,Peridotite_rect,7,3.825,1,6,0,6,0,1,,,,,,,,,,,,,
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,0.544444473,0.38055555,1,0,0,3.9817,Andesite_04,1,04,6,8,3.982,-0.425925926,-0.249074088,1,0,0,7.321,Andesite_rect,1,7.321,1,7,0,7,0,1,,,,,,,,,,,,,
595d19b05b278d00018faa06,SCN,2024-06-20_13h30.04.274,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,-0.567592586,0.234259252,1,0,0,1.8495,Peridotite_05,7,05,5,1,1.849,0.147222236,-0.406481496,1,0,0,7.052,Peridotite_rect,7,7.052,1,8,0,8,0,1,,,,,,,,,,,,,
