participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,1,0.100833321,-0.014166673,1,0,0,5.1078,rock_grid_rect_2,3,02,-1,-1,5.108,0.384166718,-0.400833321,1,0,0,13.605,Pumice_rect,8,13.605,0,0,0,0,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,2,0.070833333,-0.00583334,1,0,0,2.0903,rock_grid_rect_2,8,08,-1,-1,2.09,-0.214166641,-0.2375,1,0,0,5.9609,Basalt_rect,2,5.961,0,1,0,1,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,3,-0.005833308,-0.014166673,1,0,0,1.2584,rock_grid_rect_2,3,12,-1,-1,1.258,-0.203333346,-0.255833371,1,0,0,6.6449,Basalt_rect,2,6.645,0,2,0,2,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,4,0.018333371,-0.002499994,1,0,0,1.1425,rock_grid_rect_2,1,04,-1,-1,1.142,-0.414999994,-0.391666667,1,0,0,4.8949,Obsidian_rect,5,4.895,0,3,0,3,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,5,-0.047499975,0.003333314,1,0,0,1.0315,rock_grid_rect_2,6,12,-1,-1,1.031,-0.157500013,-0.382500013,1,0,0,4.7125,Pegmatite_rect,6,4.712,1,4,0,4,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,6,-0.050833321,-0.009166686,1,0,0,1.2082,rock_grid_rect_2,5,06,-1,-1,1.208,0.384999975,-0.236666679,1,0,0,5.8109,Gabbro_rect,4,5.811,0,5,0,5,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,7,0.020000013,-0.007500013,1,0,0,1.0906,rock_grid_rect_2,8,09,-1,-1,1.091,0.306666692,-0.395833333,1,0,0,3.1112,Pumice_rect,8,3.111,1,6,0,6,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,8,0.082500013,0.009166654,1,0,0,1.3241,rock_grid_rect_2,7,15,-1,-1,1.324,-0.384166654,-0.249166679,1,0,0,3.5951,Andesite_rect,1,3.595,0,7,0,7,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,9,-0.070833333,0.001666673,1,0,0,1.0093,rock_grid_rect_2,4,15,-1,-1,1.009,-0.184999975,-0.235000038,1,0,0,3.1776,Basalt_rect,2,3.178,0,8,0,8,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,10,-0.011666679,-0.010833327,1,0,0,1.0444,rock_grid_rect_2,7,16,-1,-1,1.044,-0.175833321,-0.385000038,1,0,0,3.7301,Pegmatite_rect,6,3.73,0,9,0,9,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,11,0.010833359,0.000833321,1,0,0,1.3777,rock_grid_rect_2,1,14,-1,-1,1.378,-0.191666667,-0.261666679,1,0,0,6.2117,Basalt_rect,2,6.212,0,10,0,10,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,12,-0.063333321,-0.001666673,1,0,0,0.9969,rock_grid_rect_2,2,09,-1,-1,0.997,-0.175833321,-0.4,1,0,0,49.2873,Pegmatite_rect,6,49.287,0,11,0,11,0,1,,,,,,,,,,,,,
59f226a9d6380600018b2923,TCR,2024-06-11_10h11.28.648,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,13,-0.118333308,0,1,0,0,1.0143,rock_grid_rect_2,2,12,-1,-1,1.014,0.334999975,-0.380833371,1,0,0,1.9268,Pumice_rect,8,1.927,0,12,0,12,0,1,,,,,,,,,,,,,
