participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.067592593,0.001851852,1,0,0,5.1265,rock_grid_rect_2,3,10,-1,-1,5.126,-0.153703704,-0.262962963,1,0,0,5.6902,Basalt_rect,2,5.69,0,0,0,0,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.102777778,0.007407407,1,0,0,1.7302,rock_grid_rect_2,7,13,-1,-1,1.73,0.371296296,-0.255555556,1,0,0,6.8288,Gabbro_rect,4,6.829,0,1,0,1,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.065740741,-0.000925926,1,0,0,1.2655,rock_grid_rect_2,6,12,-1,-1,1.266,-0.073148148,-0.237037037,1,0,0,3.6792,Basalt_rect,2,3.679,0,2,0,2,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.002777778,-0.011111111,1,0,0,1.1155,rock_grid_rect_2,6,08,-1,-1,1.115,-0.414814815,-0.410185185,1,0,0,2.5638,Obsidian_rect,5,2.564,0,3,0,3,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.059259259,0,1,0,0,2.049,rock_grid_rect_2,8,13,-1,-1,2.049,-0.332407407,-0.237962963,1,0,0,2.18,Andesite_rect,1,2.18,0,4,0,4,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.060185185,-0.014814815,1,0,0,1.1828,rock_grid_rect_2,1,09,-1,-1,1.183,-0.361111111,-0.411111111,1,0,0,3.8532,Obsidian_rect,5,3.853,0,5,0,5,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.00462963,-0.015740741,1,0,0,1.2313,rock_grid_rect_2,4,05,-1,-1,1.231,-0.335185185,-0.392592593,1,0,0,1.5467,Obsidian_rect,5,1.547,0,6,0,6,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.037962963,0.000925926,1,0,0,1.1234,rock_grid_rect_2,7,02,-1,-1,1.123,-0.131481481,-0.415740741,1,0,0,4.4475,Pegmatite_rect,6,4.447,0,7,0,7,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.027777778,0.001851852,1,0,0,1.0724,rock_grid_rect_2,5,14,-1,-1,1.072,-0.337962963,-0.385185185,1,0,0,1.463,Obsidian_rect,5,1.463,1,8,0,8,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,-0.012037037,0.00462963,1,0,0,0.9699,rock_grid_rect_2,4,01,-1,-1,0.97,0.123148148,-0.247222222,1,0,0,2.1131,Diorite_rect,3,2.113,0,9,0,9,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,0.000925926,-0.001851852,1,0,0,1.0383,rock_grid_rect_2,2,04,-1,-1,1.038,-0.334259259,-0.386111111,1,0,0,2.5813,Obsidian_rect,5,2.581,0,10,0,10,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0.000925926,-0.000925926,1,0,0,1.118,rock_grid_rect_2,8,08,-1,-1,1.118,0.098148148,-0.42037037,1,0,0,5.2158,Peridotite_rect,7,5.216,0,11,0,11,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,0.043518519,0.016666667,1,0,0,1.6609,rock_grid_rect_2,2,10,-1,-1,1.661,-0.130555556,-0.253703704,1,0,0,3.1007,Basalt_rect,2,3.101,1,12,0,12,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,-0.027777778,0.001851852,1,0,0,0.8296,rock_grid_rect_2,5,12,-1,-1,0.83,-0.4,-0.412037037,1,0,0,2.6178,Obsidian_rect,5,2.618,1,13,0,13,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,-0.038888889,-0.008333333,1,0,0,0.8896,rock_grid_rect_2,1,11,-1,-1,0.89,0.131481481,-0.251851852,1,0,0,3.1284,Diorite_rect,3,3.128,0,14,0,14,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,-0.006481481,0.00462963,1,0,0,0.9047,rock_grid_rect_2,3,11,-1,-1,0.905,0.130555556,-0.252777778,1,0,0,3.3302,Diorite_rect,3,3.33,1,15,0,15,0,1,,,,,,,,,,,,,
5ac16e870527ba0001c1f27e,TCN,2024-06-11_12h46.31.732,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,5,06,,,,,,,,,,,5,5.569,1,,,,,,-0.357407407,-0.397222222,1,0,0,5.5692,Obsidian_rect,0,0,0,0,1,
