participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,1,-0.051000317,0.003678944,1,0,0,3.3442,rock_grid_rect_2,7,06,-1,-1,3.344,-0.141748563,-0.238364206,1,0,0,5.3517,Basalt_rect,2,5.352,0,0,0,0,0,1,,,,,,,,,,,,
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,2,0.071441006,-0.005069142,1,0,0,1.5786,rock_grid_rect_2,4,12,-1,-1,1.579,0.124127527,-0.25973654,1,0,0,5.6569,Diorite_rect,3,5.657,0,1,0,1,0,1,,,,,,,,,,,,
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,3,0.068426714,0.001626888,1,0,0,1.6416,rock_grid_rect_2,8,05,-1,-1,1.642,0.435767232,-0.405287622,1,0,0,4.6703,Pumice_rect,8,4.67,1,2,0,2,0,1,,,,,,,,,,,,
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,4,-0.003838123,-0.01205627,1,0,0,1.8103,rock_grid_rect_2,3,06,-1,-1,1.81,0.077242283,-0.412266118,1,0,0,2.551,Peridotite_rect,7,2.551,0,3,0,3,0,1,,,,,,,,,,,,
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,5,0.036184463,-0.00579089,1,0,0,1.2914,rock_grid_rect_2,1,03,-1,-1,1.291,-0.349770667,-0.402241237,1,0,0,4.7772,Obsidian_rect,5,4.777,0,4,0,4,0,1,,,,,,,,,,,,
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,6,0.047832722,-0.020432521,1,0,0,1.9424,rock_grid_rect_2,4,16,-1,-1,1.942,-0.115927898,-0.244412704,1,0,0,5.7809,Basalt_rect,2,5.781,0,5,0,5,0,1,,,,,,,,,,,,
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,7,0.090751111,-0.010351011,1,0,0,1.3084,rock_grid_rect_2,2,09,-1,-1,1.308,0.319080335,-0.254742618,1,0,0,2.7236,Gabbro_rect,4,2.724,0,6,0,6,0,1,,,,,,,,,,,,
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,8,0.045255849,-0.011942581,1,0,0,1.2188,rock_grid_rect_2,7,05,-1,-1,1.219,0.097588194,-0.390220176,1,0,0,3,Peridotite_rect,7,3,1,7,0,7,0,1,,,,,,,,,,,,
5aec7e89ae13140001fc0cdf,TCR,2024-06-10_14h07.30.673,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,9,0.062164092,0.003069954,1,0,0,1.2096,rock_grid_rect_2,3,10,-1,-1,1.21,0.082660227,-0.233018257,1,0,0,2.5161,Diorite_rect,3,2.516,1,8,0,8,0,1,,,,,,,,,,,,
