participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,1,0.386111111,-0.268055556,1,0,0,3.2528,Pegmatite_10,6,10,2,7,3.253,2,16,0.136805556,-0.254166667,1,0,0,7.6442,Diorite_rect,3,7.644,0,0,0,0,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,2,0.396527778,0.095138889,1,0,0,5.584,Obsidian_11,5,11,4,7,5.584,7,02,-0.363888889,-0.393055556,1,0,0,10.569,Obsidian_rect,5,10.569,1,1,0,1,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,3,-0.413888889,-0.093055556,1,0,0,3.4209,Pegmatite_11,6,11,3,2,3.421,3,06,-0.402083333,-0.254166667,1,0,0,4.9306,Andesite_rect,1,4.931,0,2,0,2,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,4,-0.389583333,-0.251388889,1,0,0,9.179,Peridotite_06,7,06,2,2,9.179,6,07,-0.154861111,-0.25625,1,0,0,2.4231,Basalt_rect,2,2.423,0,3,0,3,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,5,-0.395833333,-0.095138889,1,0,0,3.7051,Pegmatite_11,6,11,3,2,3.705,8,09,-0.14375,-0.408333333,1,0,0,5.8902,Pegmatite_rect,6,5.89,1,4,0,4,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,6,0.241666667,0.084027778,1,0,0,3.9746,Peridotite_07,7,07,4,6,3.975,1,10,0.357638889,-0.40625,1,0,0,5.2031,Pumice_rect,8,5.203,0,5,0,5,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,7,0.088888889,0.403472222,1,0,0,5.1868,Pumice_13,8,13,6,5,5.187,4,13,0.096527778,-0.252777778,1,0,0,3.5921,Diorite_rect,3,3.592,0,6,0,6,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,8,-0.384722222,0.240972222,1,0,0,7.0803,Pegmatite_06,6,06,5,2,7.08,8,08,0.366666667,-0.25625,1,0,0,15.984,Gabbro_rect,4,15.984,0,7,0,7,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,9,-0.084027778,-0.105555556,1,0,0,13.7405,Obsidian_04,5,04,3,4,13.74,3,12,-0.392361111,-0.249305556,1,0,0,4.9188,Andesite_rect,1,4.919,0,8,0,8,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,10,-0.24375,0.238888889,1,0,0,9.5566,Obsidian_12,5,12,5,3,9.557,2,06,-0.386111111,-0.39375,1,0,0,2.2217,Obsidian_rect,5,2.222,1,9,0,9,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,11,-0.077083333,-0.109027778,1,0,0,7.0085,Obsidian_04,5,04,3,4,7.009,4,16,-0.413888889,-0.399305556,1,0,0,1.9272,Obsidian_rect,5,1.927,1,10,0,10,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,12,0.398611111,-0.257638889,1,0,0,20.1671,Pegmatite_10,6,10,2,7,20.167,6,11,0.104166667,-0.397916667,1,0,0,4.6494,Peridotite_rect,7,4.649,0,11,0,11,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,13,0.070138889,-0.103472222,1,0,0,29.5502,Diorite_06,3,06,3,5,29.55,5,04,-0.377777778,-0.247916667,1,0,0,8.172,Andesite_rect,1,8.172,0,12,0,12,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,14,-0.390972222,-0.402083333,1,0,0,6.9864,Obsidian_06,5,06,1,2,6.986,1,07,0.402777778,-0.238888889,1,0,0,3.8445,Gabbro_rect,4,3.845,0,13,0,13,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,15,-0.557638889,-0.250694444,1,0,0,20.9784,Diorite_14,3,14,2,1,20.978,5,07,0.124305556,-0.404166667,1,0,0,4.0814,Peridotite_rect,7,4.081,0,14,0,14,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,1,16,-0.078472222,-0.261111111,1,0,0,2.7075,Pumice_09,8,09,2,4,2.707,7,07,0.385416667,-0.399305556,1,0,0,2.9977,Pumice_rect,8,2.998,1,15,0,15,0,1,,,,,,,,,,,,,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,1,,,,,,,,3,08,,,,,,,,,,,,,5,4.066,0,,,,,,-0.4,-0.402083333,1,0,0,4.0658,Obsidian_rect,0,0,0,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,2,,,,,,,,1,02,,,,,,,,,,,,,7,7.533,0,,,,,,0.152777778,-0.401388889,1,0,0,7.5326,Peridotite_rect,1,0,1,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,3,,,,,,,,6,12,,,,,,,,,,,,,5,5.174,0,,,,,,-0.39375,-0.402777778,1,0,0,5.1741,Obsidian_rect,2,0,2,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,4,,,,,,,,5,02,,,,,,,,,,,,,5,3.336,1,,,,,,-0.413194444,-0.401388889,1,0,0,3.3357,Obsidian_rect,3,0,3,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,5,,,,,,,,6,15,,,,,,,,,,,,,6,6.591,1,,,,,,-0.114583333,-0.400694444,1,0,0,6.5913,Pegmatite_rect,4,0,4,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,6,,,,,,,,2,09,,,,,,,,,,,,,7,14.276,0,,,,,,0.152777778,-0.398611111,1,0,0,14.2764,Peridotite_rect,5,0,5,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,7,,,,,,,,3,02,,,,,,,,,,,,,5,2.661,0,,,,,,-0.385416667,-0.393055556,1,0,0,2.6606,Obsidian_rect,6,0,6,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,8,,,,,,,,2,12,,,,,,,,,,,,,8,6.003,0,,,,,,0.384722222,-0.401388889,1,0,0,6.0027,Pumice_rect,7,0,7,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,9,,,,,,,,4,01,,,,,,,,,,,,,6,9.841,0,,,,,,-0.134027778,-0.390277778,1,0,0,9.8411,Pegmatite_rect,8,0,8,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,10,,,,,,,,1,05,,,,,,,,,,,,,3,2.658,0,,,,,,0.125,-0.250694444,1,0,0,2.6584,Diorite_rect,9,0,9,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,11,,,,,,,,4,14,,,,,,,,,,,,,1,5.129,0,,,,,,-0.3875,-0.250694444,1,0,0,5.1291,Andesite_rect,10,0,10,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,12,,,,,,,,8,02,,,,,,,,,,,,,8,2.304,1,,,,,,0.385416667,-0.397222222,1,0,0,2.3039,Pumice_rect,11,0,11,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,13,,,,,,,,7,04,,,,,,,,,,,,,7,4.615,1,,,,,,0.140277778,-0.397916667,1,0,0,4.6147,Peridotite_rect,12,0,12,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,14,,,,,,,,8,05,,,,,,,,,,,,,8,2.069,1,,,,,,0.367361111,-0.397222222,1,0,0,2.0688,Pumice_rect,13,0,13,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,15,,,,,,,,5,09,,,,,,,,,,,,,5,1.704,1,,,,,,-0.393055556,-0.404166667,1,0,0,1.7036,Obsidian_rect,14,0,14,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,1,2,16,,,,,,,,7,05,,,,,,,,,,,,,6,5.056,0,,,,,,-0.117361111,-0.397916667,1,0,0,5.0562,Pegmatite_rect,15,0,15,0,1,
5b22d2c260c40e000103b157,SCR,2024-06-25_13h13.24.180,LearnStrategy,2023.2.3,Win32,9.216589862,2,1,1,0.396527778,-0.261111111,1,0,0,3.0963,Pegmatite_10,6,10,2,7,3.096,2,01,-0.127083333,-0.4,1,0,0,3.5456,Pegmatite_rect,6,3.546,1,0,0,0,0,1,,,,,,,,,,,,,
