participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,1,-0.064814815,0.073148127,1,0,0,5.4856,Peridotite_13,7,13,4,4,5.486,-0.385185171,-0.260185171,1,0,0,9.2196,Andesite_rect,1,9.22,0,0,0,0,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,2,-0.205555527,-0.422222208,1,0,0,12.3132,Gabbro_03,4,03,1,3,12.313,0.10092594,-0.391666695,1,0,0,2.6936,Peridotite_rect,7,2.694,0,1,0,1,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,3,0.215740769,-0.112037023,1,0,0,5.6721,Peridotite_14,7,14,3,6,5.672,0.093518504,-0.393518519,1,0,0,1.4126,Peridotite_rect,7,1.413,1,2,0,2,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,4,-0.39444443,0.397222219,1,0,0,6.7553,Pumice_13,8,13,6,2,6.755,0.087037051,-0.410185213,1,0,0,1.3506,Peridotite_rect,7,1.351,0,3,0,3,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,5,0.377777806,0.402777778,1,0,0,5.6382,Pumice_04,8,04,6,7,5.638,0.384259259,-0.420370384,1,0,0,2.4956,Pumice_rect,8,2.496,1,4,0,4,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,6,0.530555584,0.388888889,1,0,0,5.4084,Obsidian_12,5,12,6,8,5.408,-0.152777778,-0.268518519,1,0,0,3.9196,Basalt_rect,2,3.92,0,5,0,5,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,7,0.402777778,0.249074071,1,0,0,1.78,Obsidian_02,5,02,5,7,1.78,-0.389814801,-0.412962949,1,0,0,1.178,Obsidian_rect,5,1.178,1,6,0,6,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,8,-0.051851838,0.226851852,1,0,0,1.7157,Obsidian_11,5,11,5,4,1.716,-0.39444443,-0.418518561,1,0,0,1.4807,Obsidian_rect,5,1.481,1,7,0,7,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,9,-0.084259245,0.38981481,1,0,0,2.7643,Obsidian_16,5,16,6,4,2.764,-0.3824074,-0.401851866,1,0,0,1.0427,Obsidian_rect,5,1.043,1,8,0,8,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,10,0.402777778,-0.082407422,1,0,0,3.7955,Obsidian_04,5,04,3,7,3.795,-0.368518511,-0.387962977,1,0,0,1.7048,Obsidian_rect,5,1.705,1,9,0,9,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,11,0.380555612,0.097222222,1,0,0,8.1883,Obsidian_10,5,10,4,7,8.188,-0.423148155,-0.420370384,1,0,0,1.1422,Obsidian_rect,5,1.142,1,10,0,10,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,12,-0.525000007,0.399074069,1,0,0,3.7476,Pegmatite_10,6,10,6,1,3.748,0.171296296,-0.408333319,1,0,0,4.1766,Peridotite_rect,7,4.177,0,11,0,11,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,13,-0.400000007,0.416666667,1,0,0,3.505,Pumice_13,8,13,6,2,3.505,0.375,-0.405555584,1,0,0,6.7952,Pumice_rect,8,6.795,1,12,0,12,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,14,-0.39907406,-0.10092594,1,0,0,14.0614,Pegmatite_03,6,03,3,2,14.061,-0.101851852,-0.40370369,1,0,0,4.3722,Pegmatite_rect,6,4.372,1,13,0,13,0,1,,,,,,,,,,,,,
5bf311373a5bf00001401f64,SCN,2024-06-26_12h34.48.885,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,15,-0.517592571,-0.103703746,1,0,0,2.1794,Pegmatite_12,6,12,3,1,2.179,-0.171296296,-0.393518519,1,0,0,2.624,Pegmatite_rect,6,2.624,1,14,0,14,0,1,,,,,,,,,,,,,
