participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.565740727,-0.08888891,1,0,0,3.6965,Basalt_16,2,16,3,1,3.696,2,16,0.416666667,-0.390740783,1,0,0,15.5851,Pumice_rect,8,15.585,0,0,0,0,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.053703732,0.224999993,1,0,0,2.2392,Andesite_14,1,14,5,5,2.239,1,14,0.416666667,-0.252777806,1,0,0,8.2806,Gabbro_rect,4,8.281,0,1,0,1,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.534259266,0.25462963,1,0,0,1.9493,Pegmatite_08,6,08,5,1,1.949,6,08,0.443518603,-0.238888917,1,0,0,9.8517,Gabbro_rect,4,9.852,0,2,0,2,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.437962956,-0.078703704,1,0,0,1.7779,Pegmatite_06,6,06,3,2,1.778,6,06,0.437037009,-0.235185199,1,0,0,8.34,Gabbro_rect,4,8.34,0,3,0,3,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.244444459,-0.08888891,1,0,0,1.7058,Obsidian_07,5,07,3,6,1.706,5,07,-0.435185185,-0.397222236,1,0,0,6.8725,Obsidian_rect,5,6.873,1,4,0,4,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.25462963,-0.250925912,1,0,0,2.2297,Basalt_01,2,01,2,6,2.23,2,01,0.150925954,-0.24537037,1,0,0,13.7693,Diorite_rect,3,13.769,0,5,0,5,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.529629637,-0.251851894,1,0,0,2.0853,Andesite_11,1,11,2,1,2.085,1,11,-0.424074067,-0.233333376,1,0,0,5.574,Andesite_rect,1,5.574,1,6,0,6,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,-0.234259217,0.232407411,1,0,0,1.5894,Pumice_13,8,13,5,3,1.589,8,13,0.157407407,-0.252777806,1,0,0,8.6431,Diorite_rect,3,8.643,0,7,0,7,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.250925912,0.089814822,1,0,0,2.0179,Pumice_14,8,14,4,3,2.018,8,14,-0.131481453,-0.250925912,1,0,0,8.4005,Basalt_rect,2,8.401,0,8,0,8,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,0.405555584,-0.264814801,1,0,0,1.9121,Peridotite_04,7,04,2,7,1.912,7,04,0.440740797,-0.237963005,1,0,0,4.3765,Gabbro_rect,4,4.377,0,9,0,9,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,0.564814815,0.453703704,1,0,0,1.7766,Obsidian_16,5,16,6,8,1.777,5,16,-0.412962949,-0.406481496,1,0,0,3.6348,Obsidian_rect,5,3.635,1,10,0,10,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,-0.592592593,0.424074076,1,0,0,2.3393,Diorite_07,3,07,6,1,2.339,3,07,-0.410185178,-0.248148176,1,0,0,18.5675,Andesite_rect,1,18.567,0,11,0,11,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,-0.397222201,-0.388888889,1,0,0,1.7505,Peridotite_12,7,12,1,2,1.75,7,12,0.113888917,-0.40370369,1,0,0,2.666,Peridotite_rect,7,2.666,1,12,0,12,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,-0.554629608,-0.422222208,1,0,0,1.6432,Gabbro_14,4,14,1,1,1.643,4,14,-0.125,-0.240740741,1,0,0,11.5824,Basalt_rect,2,11.582,0,13,0,13,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.369444529,0.092592593,1,0,0,2.1626,Diorite_16,3,16,4,7,2.163,3,16,-0.434259238,-0.252777806,1,0,0,13.4229,Andesite_rect,1,13.423,0,14,0,14,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,0.056481467,0.418518517,1,0,0,1.533,Gabbro_16,4,16,6,5,1.533,4,16,-0.139814801,-0.248148176,1,0,0,3.3134,Basalt_rect,2,3.313,0,15,0,15,0,1,,,,,,,,,,,,,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,7,14,,,,,,,,,,,,,7,7.356,1,,,,,,0.162962949,-0.400925954,1,0,0,7.3562,Peridotite_rect,0,0,0,0,1,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,2,14,,,,,,,,,,,,,4,8.439,0,,,,,,0.435185185,-0.237963005,1,0,0,8.4387,Gabbro_rect,1,0,1,0,1,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,4,13,,,,,,,,,,,,,3,6.232,0,,,,,,0.176851838,-0.256481524,1,0,0,6.2324,Diorite_rect,2,0,2,0,1,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,8,05,,,,,,,,,,,,,8,3.034,1,,,,,,0.421296296,-0.40370369,1,0,0,3.0344,Pumice_rect,3,0,3,0,1,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,5,02,,,,,,,,,,,,,5,2.235,1,,,,,,-0.390740748,-0.401851866,1,0,0,2.235,Obsidian_rect,4,0,4,0,1,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,6,12,,,,,,,,,,,,,6,18.513,1,,,,,,-0.094444416,-0.404629672,1,0,0,18.5126,Pegmatite_rect,5,0,5,0,1,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,3,09,,,,,,,,,,,,,3,11.183,1,,,,,,0.162037037,-0.236111111,1,0,0,11.183,Diorite_rect,6,0,6,0,1,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,8,,,,,,,,4,09,,,,,,,,,,,,,4,14.433,1,,,,,,0.389814871,-0.246296282,1,0,0,14.4334,Gabbro_rect,7,0,7,0,1,
5c1976c90d57c30001b4162c,SCR,2024-06-11_12h15.04.325,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,9,,,,,,,,1,04,,,,,,,,,,,,,7,8.67,0,,,,,,0.137962977,-0.388888889,1,0,0,8.6698,Peridotite_rect,8,0,8,0,1,
