participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,1,-0.375384267,0.122208195,1,0,0,8.191,Pegmatite_09,6,09,4,2,8.191,2,02,-0.360568896,-0.239842133,1,0,0,12.824,Andesite_rect,1,12.824,0,0,0,0,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,2,0.214452283,-0.250027748,1,0,0,11.041,Obsidian_10,5,10,2,6,11.041,4,05,-0.351309331,-0.391699762,1,0,0,3.765,Obsidian_rect,5,3.765,1,1,0,1,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,3,0.57928068,-0.253731619,1,0,0,13.895,Andesite_10,1,10,2,8,13.895,1,10,0.133893852,-0.393551586,1,0,0,12.361,Peridotite_rect,7,12.361,0,2,0,2,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,4,-0.385569827,-0.06576167,1,0,0,3.952,Diorite_07,3,07,3,2,3.952,6,12,0.385755037,-0.416700692,1,0,0,8.702,Pumice_rect,8,8.702,0,3,0,3,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,5,0.074632371,0.274065713,1,0,0,19.389,Diorite_11,3,11,5,5,19.389,2,11,0.157042792,-0.236138373,1,0,0,9.155,Diorite_rect,3,9.155,1,4,0,4,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,6,0.57465087,-0.419478567,1,0,0,13.412,Andesite_11,1,11,1,8,13.412,6,15,0.408903866,-0.418552516,1,0,0,5.65,Pumice_rect,8,5.65,0,5,0,5,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,7,-0.5309456,-0.100022221,1,0,0,14.255,Pumice_09,8,09,3,1,14.255,7,08,0.455202189,-0.391699762,1,0,0,3.85,Pumice_rect,8,3.85,1,6,0,6,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,8,-0.214267239,-0.408366901,1,0,0,7.367,Peridotite_05,7,05,1,3,7.367,3,07,0.111670742,-0.387069896,1,0,0,5.657,Peridotite_rect,7,5.657,1,7,0,7,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,9,0.082966052,0.088873668,1,0,0,10.695,Pegmatite_16,6,16,4,5,10.695,4,14,0.424645509,-0.249101808,1,0,0,12.15,Gabbro_rect,4,12.15,0,8,0,8,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,10,0.090373681,-0.250953744,1,0,0,2.746,Obsidian_08,5,08,2,5,2.746,5,08,-0.350383392,-0.392625646,1,0,0,4.213,Obsidian_rect,5,4.213,1,9,0,9,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,11,0.209822584,-0.098170286,1,0,0,1.591,Pumice_16,8,16,3,6,1.591,8,16,0.429275097,-0.404663141,1,0,0,8.431,Pumice_rect,8,8.431,1,10,0,10,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,12,-0.54576097,0.09813326,1,0,0,3.413,Peridotite_14,7,14,4,1,3.413,7,14,0.138523663,-0.400959271,1,0,0,5.622,Peridotite_rect,7,5.622,1,11,0,11,0,1,,,,,,,,,,,,
5cf6150ce42af100015a90c4,SCR,2024-06-10_12h07.51.423,LearnStrategy,2023.2.3,Win32,2.608242045,1,1,13,0.55520569,0.391662653,1,0,0,2.683,Diorite_16,3,16,6,8,2.683,3,16,-0.332790091,-0.256509494,1,0,0,20.199,Andesite_rect,1,20.199,0,12,0,12,0,1,,,,,,,,,,,,
