participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.040364583,0.013020833,1,0,0,9.6566,rock_grid_rect_2,1,06,-1,-1,9.657,-0.154947917,-0.243489583,1,0,0,7.0099,Basalt_rect,2,7.01,0,0,0,0,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.049479167,0.00390625,1,0,0,1.5892,rock_grid_rect_2,3,11,-1,-1,1.589,-0.151041667,-0.404947917,1,0,0,3.9745,Pegmatite_rect,6,3.975,0,1,0,1,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.015625,0.009114583,1,0,0,1.2893,rock_grid_rect_2,2,12,-1,-1,1.289,0.337239583,-0.412760417,1,0,0,4.9323,Pumice_rect,8,4.932,0,2,0,2,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.106770833,0.00390625,1,0,0,1.693,rock_grid_rect_2,6,11,-1,-1,1.693,-0.154947917,-0.388020833,1,0,0,4.2944,Pegmatite_rect,6,4.294,1,3,0,3,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.0078125,-0.001302083,1,0,0,1.2979,rock_grid_rect_2,4,14,-1,-1,1.298,0.368489583,-0.397135417,1,0,0,5.7005,Pumice_rect,8,5.701,0,4,0,4,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.046875,-0.00390625,1,0,0,1.4911,rock_grid_rect_2,8,06,-1,-1,1.491,0.419270833,-0.393229167,1,0,0,2.4466,Pumice_rect,8,2.447,1,5,0,5,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.010416667,-0.009114583,1,0,0,1.1103,rock_grid_rect_2,6,03,-1,-1,1.11,0.102864583,-0.40234375,1,0,0,4.4602,Peridotite_rect,7,4.46,0,6,0,6,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.002604167,-0.00390625,1,0,0,1.3768,rock_grid_rect_2,8,15,-1,-1,1.377,0.07421875,-0.234375,1,0,0,14.4674,Diorite_rect,3,14.467,0,7,0,7,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.00390625,-0.01171875,1,0,0,1.7921,rock_grid_rect_2,2,08,-1,-1,1.792,-0.364583333,-0.391927083,1,0,0,1.9056,Obsidian_rect,5,1.906,0,8,0,8,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,-0.040364583,-0.01171875,1,0,0,1.3946,rock_grid_rect_2,7,14,-1,-1,1.395,-0.397135417,-0.2578125,1,0,0,5.0455,Andesite_rect,1,5.046,0,9,0,9,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,-0.014322917,-0.002604167,1,0,0,1.1769,rock_grid_rect_2,7,02,-1,-1,1.177,0.061197917,-0.266927083,1,0,0,3.4149,Diorite_rect,3,3.415,0,10,0,10,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,-0.100260417,0.01171875,1,0,0,28.8893,rock_grid_rect_2,4,05,-1,-1,28.889,-0.395833333,-0.229166667,1,0,0,10.3055,Andesite_rect,1,10.305,0,11,0,11,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.024739583,0.002604167,1,0,0,1.3727,rock_grid_rect_2,3,15,-1,-1,1.373,0.130208333,-0.401041667,1,0,0,3.1905,Peridotite_rect,7,3.19,0,12,0,12,0,1,,,,,,,,,,,,,
5db0e17518230d00170d4332,TCN,2024-06-24_13h56.05.543,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,-0.067708333,-0.014322917,1,0,0,1.5104,rock_grid_rect_2,1,03,-1,-1,1.51,0.15234375,-0.395833333,1,0,0,12.6428,Peridotite_rect,7,12.643,0,13,0,13,0,1,,,,,,,,,,,,,
