participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,1,0.085573743,0.008692956,1,0,0,1.1992,rock_grid_rect_2,1,01,-1,-1,1.199,-0.364723876,-0.390856481,1,0,0,5.0495,Obsidian_rect,5,5.049,0,0,0,0,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,2,0.023689649,-0.01515377,1,0,0,1.0291,rock_grid_rect_2,2,16,-1,-1,1.029,0.076496362,-0.231039187,1,0,0,1.6101,Diorite_rect,3,1.61,0,1,0,1,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,3,0.076083003,0.004104663,1,0,0,1.6314,rock_grid_rect_2,1,07,-1,-1,1.631,0.357291667,-0.269394841,1,0,0,2.9536,Gabbro_rect,4,2.954,0,2,0,2,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,4,0.068386243,-0.006361607,1,0,0,0.89,rock_grid_rect_2,5,07,-1,-1,0.89,0.189008763,-0.391472388,1,0,0,2.2281,Peridotite_rect,7,2.228,0,3,0,3,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,5,0.038711144,0.008519345,1,0,0,1.2228,rock_grid_rect_2,3,13,-1,-1,1.223,-0.110726687,-0.410639881,1,0,0,1.7698,Pegmatite_rect,6,1.77,0,4,0,4,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,6,-0.032795966,-0.012239583,1,0,0,0.7728,rock_grid_rect_2,5,14,-1,-1,0.773,-0.312570271,-0.244779266,1,0,0,2.6945,Andesite_rect,1,2.695,0,5,0,5,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,7,-0.017902612,0.006944444,1,0,0,0.7059,rock_grid_rect_2,4,10,-1,-1,0.706,-0.324979332,-0.406386409,1,0,0,1.0115,Obsidian_rect,5,1.012,0,6,0,6,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,8,0.00619213,-0.017567791,1,0,0,0.7395,rock_grid_rect_2,7,14,-1,-1,0.74,0.329042659,-0.390505126,1,0,0,4.3285,Pumice_rect,8,4.328,0,7,0,7,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,9,-0.004604828,-0.017212302,1,0,0,0.948,rock_grid_rect_2,7,06,-1,-1,0.948,-0.078455688,-0.246883267,1,0,0,4.1942,Basalt_rect,2,4.194,0,8,0,8,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,10,-0.056576554,0.006700562,1,0,0,0.6135,rock_grid_rect_2,8,04,-1,-1,0.614,-0.319882606,-0.247689319,1,0,0,1.6699,Andesite_rect,1,1.67,0,9,0,9,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,11,-0.076839451,0.017898479,1,0,0,1.0893,rock_grid_rect_2,2,09,-1,-1,1.089,0.402794312,-0.386342593,1,0,0,1.011,Pumice_rect,8,1.011,0,10,0,10,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,12,0.070386905,-0.021370701,1,0,0,1.0812,rock_grid_rect_2,3,12,-1,-1,1.081,0.358887235,-0.260271991,1,0,0,2.6681,Gabbro_rect,4,2.668,0,11,0,11,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,13,0.124623843,-0.023660714,1,0,0,1.2125,rock_grid_rect_2,4,01,-1,-1,1.213,-0.095692791,-0.395539848,1,0,0,2.4529,Pegmatite_rect,6,2.453,0,12,0,12,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,14,-0.022895999,0.007093254,1,0,0,0.6229,rock_grid_rect_2,6,13,-1,-1,0.623,-0.125,-0.398582176,1,0,0,1.4618,Pegmatite_rect,6,1.462,1,13,0,13,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,15,-0.021044147,-0.007824901,1,0,0,0.9559,rock_grid_rect_2,8,05,-1,-1,0.956,0.361888228,-0.392344577,1,0,0,2.6095,Pumice_rect,8,2.609,1,14,0,14,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,16,0.02458664,-0.005291005,1,0,0,0.8138,rock_grid_rect_2,6,07,-1,-1,0.814,-0.134060847,-0.413359788,1,0,0,2.5443,Pegmatite_rect,6,2.544,1,15,0,15,0,1,,,,,,,,,,,,,
5dd95e3c2274978e775f2aff,TCR,2024-06-25_13h23.36.728,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,2,1,,,,,,,,1,05,,,,,,,,,,,4,5.113,0,,,,,,0.341596396,-0.266220238,1,0,0,5.1133,Gabbro_rect,0,0,0,0,1,
