participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.006666667,-0.0025,1,0,0,3.9786,rock_grid_rect_2,7,12,-1,-1,3.979,0.3575,-0.250833333,1,0,0,5.6973,Gabbro_rect,4,5.697,0,0,0,0,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.049166667,-0.018333333,1,0,0,1.5045,rock_grid_rect_2,2,01,-1,-1,1.505,0.330833333,-0.395,1,0,0,5.9378,Pumice_rect,8,5.938,0,1,0,1,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.0975,0.0025,1,0,0,1.2873,rock_grid_rect_2,5,11,-1,-1,1.287,-0.375,-0.398333333,1,0,0,2.7508,Obsidian_rect,5,2.751,1,2,0,2,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.01,-0.005833333,1,0,0,0.8652,rock_grid_rect_2,6,10,-1,-1,0.865,-0.470833333,-0.251666667,1,0,0,3.0795,Andesite_rect,1,3.079,0,3,0,3,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.114166667,0.011666667,1,0,0,1.2856,rock_grid_rect_2,1,01,-1,-1,1.286,0.365,-0.395,1,0,0,4.1766,Pumice_rect,8,4.177,0,4,0,4,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.033333333,0.015,1,0,0,1.0379,rock_grid_rect_2,8,15,-1,-1,1.038,0.291666667,-0.228333333,1,0,0,2.3107,Gabbro_rect,4,2.311,0,5,0,5,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.1275,0.009166667,1,0,0,1.4549,rock_grid_rect_2,8,06,-1,-1,1.455,0.055833333,-0.256666667,1,0,0,4.5511,Diorite_rect,3,4.551,0,6,0,6,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.0675,-0.015,1,0,0,0.8537,rock_grid_rect_2,3,07,-1,-1,0.854,0.048333333,-0.246666667,1,0,0,4.7422,Diorite_rect,3,4.742,1,7,0,7,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.121666667,-0.025,1,0,0,1.221,rock_grid_rect_2,7,08,-1,-1,1.221,0.111666667,-0.391666667,1,0,0,20.7403,Peridotite_rect,7,20.74,1,8,0,8,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.094166667,0.001666667,1,0,0,1.1745,rock_grid_rect_2,6,16,-1,-1,1.174,0.414166667,-0.264166667,1,0,0,7.3621,Gabbro_rect,4,7.362,0,9,0,9,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,0.073333333,-0.01,1,0,0,0.8372,rock_grid_rect_2,4,01,-1,-1,0.837,0.145,-0.383333333,1,0,0,16.1146,Peridotite_rect,7,16.115,0,10,0,10,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0.099166667,0.02,1,0,0,1.0864,rock_grid_rect_2,2,10,-1,-1,1.086,-0.095,-0.233333333,1,0,0,15.7944,Basalt_rect,2,15.794,1,11,0,11,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,0.1025,-0.001666667,1,0,0,1.0706,rock_grid_rect_2,3,08,-1,-1,1.071,0.133333333,-0.2525,1,0,0,8.0803,Diorite_rect,3,8.08,1,12,0,12,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,0.04,-0.006666667,1,0,0,0.9481,rock_grid_rect_2,1,07,-1,-1,0.948,0.359166667,-0.245,1,0,0,8.2335,Gabbro_rect,4,8.233,0,13,0,13,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,0.091666667,0.003333333,1,0,0,0.9209,rock_grid_rect_2,5,08,-1,-1,0.921,-0.415,-0.3925,1,0,0,1.5784,Obsidian_rect,5,1.578,1,14,0,14,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,0.060833333,0.005833333,1,0,0,0.8001,rock_grid_rect_2,4,10,-1,-1,0.8,-0.348333333,-0.235833333,1,0,0,14.4541,Andesite_rect,1,14.454,0,15,0,15,0,1,,,,,,,,,,,,,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,7,10,,,,,,,,,,,7,19.726,1,,,,,,0.154166667,-0.3975,1,0,0,19.7265,Peridotite_rect,0,0,0,0,1,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,2,,,,,,,,1,02,,,,,,,,,,,1,38.833,1,,,,,,-0.325,-0.265833333,1,0,0,38.8333,Andesite_rect,1,0,1,0,1,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,3,,,,,,,,4,16,,,,,,,,,,,2,27.056,0,,,,,,-0.096666667,-0.236666667,1,0,0,27.0557,Basalt_rect,2,0,2,0,1,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,4,,,,,,,,2,05,,,,,,,,,,,2,5.771,1,,,,,,-0.068333333,-0.243333333,1,0,0,5.7714,Basalt_rect,3,0,3,0,1,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,5,,,,,,,,6,12,,,,,,,,,,,6,38.549,1,,,,,,-0.093333333,-0.404166667,1,0,0,38.5487,Pegmatite_rect,4,0,4,0,1,
5df15bc3361a8506b94f79ed,TCN,2024-06-25_11h44.57.609,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,6,,,,,,,,3,11,,,,,,,,,,,4,8.991,0,,,,,,0.363333333,-0.266666667,1,0,0,8.9909,Gabbro_rect,5,0,5,0,1,
