participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.118489583,0.002604167,1,0,0,10.3043,rock_grid_rect_2,7,08,-1,-1,10.304,0.091145833,-0.3828125,1,0,0,10.3039,Peridotite_rect,7,10.304,1,0,0,0,0,1,,,,,,,,,,,,,
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.061197917,0.002604167,1,0,0,2.2619,rock_grid_rect_2,5,09,-1,-1,2.262,-0.075520833,-0.23828125,1,0,0,6.0095,Basalt_rect,2,6.01,0,1,0,1,0,1,,,,,,,,,,,,,
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.016927083,-0.00390625,1,0,0,2.2536,rock_grid_rect_2,3,15,-1,-1,2.254,0.059895833,-0.380208333,1,0,0,3.6274,Peridotite_rect,7,3.627,0,2,0,2,0,1,,,,,,,,,,,,,
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.010416667,-0.01953125,1,0,0,2.6611,rock_grid_rect_2,6,07,-1,-1,2.661,-0.341145833,-0.388020833,1,0,0,7.8774,Obsidian_rect,5,7.877,0,3,0,3,0,1,,,,,,,,,,,,,
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.028645833,-0.01953125,1,0,0,2.8387,rock_grid_rect_2,2,11,-1,-1,2.839,-0.326822917,-0.239583333,1,0,0,2.7054,Andesite_rect,1,2.705,0,4,0,4,0,1,,,,,,,,,,,,,
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.001302083,-0.0078125,1,0,0,1.821,rock_grid_rect_2,4,12,-1,-1,1.821,-0.3359375,-0.256510417,1,0,0,3.1098,Andesite_rect,1,3.11,0,5,0,5,0,1,,,,,,,,,,,,,
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.015625,-0.005208333,1,0,0,1.6844,rock_grid_rect_2,6,16,-1,-1,1.684,-0.326822917,-0.235677083,1,0,0,3.644,Andesite_rect,1,3.644,0,6,0,6,0,1,,,,,,,,,,,,,
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.026041667,-0.009114583,1,0,0,1.9452,rock_grid_rect_2,3,14,-1,-1,1.945,-0.365885417,-0.381510417,1,0,0,12.6818,Obsidian_rect,5,12.682,0,7,0,7,0,1,,,,,,,,,,,,,
5e2c7806bb1a6e000cf7f2e8,TCN,2024-06-26_12h52.22.448,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.076822917,-0.00390625,1,0,0,1.4239,rock_grid_rect_2,8,08,-1,-1,1.424,-0.345052083,-0.236979167,1,0,0,3.05,Andesite_rect,1,3.05,0,8,0,8,0,1,,,,,,,,,,,,,
