participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,1,0.366851648,0.26852568,1,0,0,6.5983,Obsidian_02,5,02,5,7,6.598,2,12,-0.418169195,-0.401889006,1,0,0,4.4565,Obsidian_rect,5,4.457,1,0,0,0,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,2,0.407073577,-0.086807887,1,0,0,8.1515,Pumice_10,8,10,3,7,8.151,8,14,0.394590855,-0.421321233,1,0,0,4.066,Pumice_rect,8,4.066,1,1,0,1,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,3,0.395977894,0.097799063,1,0,0,4.0288,Diorite_06,3,06,4,7,4.029,6,05,-0.138002714,-0.245042404,1,0,0,7.0187,Basalt_rect,2,7.019,0,2,0,2,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,4,0.380721331,-0.3949488,1,0,0,6.6082,Andesite_05,1,05,1,7,6.608,1,06,-0.079750339,-0.378292402,1,0,0,6.8833,Pegmatite_rect,6,6.883,0,3,0,3,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,5,-0.376560311,-0.400500933,1,0,0,1.5961,Obsidian_16,5,16,1,2,1.596,8,02,-0.354368925,-0.388008753,1,0,0,6.1022,Obsidian_rect,5,6.102,1,4,0,4,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,6,0.244798899,0.414267818,1,0,0,5.0347,Pegmatite_09,6,09,6,6,5.035,5,02,0.143550634,-0.393560727,1,0,0,2.6208,Peridotite_rect,7,2.621,0,5,0,5,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,7,0.264216503,0.274077654,1,0,0,3.0854,Basalt_06,2,06,5,6,3.085,7,10,-0.106102546,-0.232550224,1,0,0,5.1754,Basalt_rect,2,5.175,1,6,0,6,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,8,0.039528529,0.133887529,1,0,0,2.7923,Pegmatite_08,6,08,4,5,2.792,4,05,0.168516,-0.40744098,1,0,0,9.4549,Peridotite_rect,7,9.455,0,7,0,7,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,9,-0.088072101,0.060322364,1,0,0,1.214,Basalt_16,2,16,4,4,1.214,7,16,-0.111650387,-0.254758517,1,0,0,8.5606,Basalt_rect,2,8.561,1,8,0,8,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,10,-0.083911141,0.401775678,1,0,0,3.3478,Pegmatite_05,6,05,6,4,3.348,5,16,0.165742119,-0.236714125,1,0,0,6.6887,Diorite_rect,3,6.689,0,9,0,9,0,1,,,,,,,,,,,,,
5e5c3cc556ec124282602756,SCR,2024-06-11_12h11.52.927,LearnStrategy,2023.2.3,Linux armv81,59.52380952,1,1,11,-0.254507581,0.401775678,1,0,0,1.1334,Pumice_03,8,03,6,3,1.133,3,16,0.376560529,-0.381068548,1,0,0,2.1209,Pumice_rect,8,2.121,1,10,0,10,0,1,,,,,,,,,,,,,
