participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,1,1,1,0.11377142,-0.017886233,1,0,0,4.3234,rock_grid_rect_2,2,09,-1,-1,4.323,0.173320957,-0.234565064,1,0,0,4.2016,Diorite_rect,3,4.202,0,0,0,0,0,1,,,,,,,,,,,,
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,1,1,2,0.184866343,0.006519877,1,0,0,2.1203,rock_grid_rect_2,1,16,-1,-1,2.12,0.378706444,-0.242898947,1,0,0,4.627,Gabbro_rect,4,4.627,0,1,0,1,0,1,,,,,,,,,,,,
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,1,1,3,0.147799712,0.016044194,1,0,0,1.5416,rock_grid_rect_2,7,07,-1,-1,1.542,0.35865401,-0.394097841,1,0,0,18.0571,Pumice_rect,8,18.057,0,2,0,2,0,1,,,,,,,,,,,,
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,1,1,4,0.173928624,-0.005980799,1,0,0,1.5367,rock_grid_rect_2,8,03,-1,-1,1.537,0.149622715,-0.241113072,1,0,0,4.4788,Diorite_rect,3,4.479,0,3,0,3,0,1,,,,,,,,,,,,
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,1,1,5,0.176359295,-0.003599732,1,0,0,1.602,rock_grid_rect_2,6,12,-1,-1,1.602,-0.073992254,-0.404217549,1,0,0,7.0126,Pegmatite_rect,6,7.013,1,4,0,4,0,1,,,,,,,,,,,,
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,1,1,6,0.180005102,-0.005980799,1,0,0,1.1046,rock_grid_rect_2,3,07,-1,-1,1.105,0.358046342,-0.228612397,1,0,0,9.4704,Gabbro_rect,4,9.47,0,5,0,5,0,1,,,,,,,,,,,,
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,1,1,7,0.175143959,-0.011338274,1,0,0,2.6664,rock_grid_rect_2,5,10,-1,-1,2.666,0.147799712,-0.264923941,1,0,0,175.7987,Diorite_rect,3,175.799,0,6,0,6,0,1,,,,,,,,,,,,
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,1,1,8,0.179397533,-0.008361916,1,0,0,163.2272,rock_grid_rect_2,1,07,-1,-1,163.227,0.096757125,-0.395883666,1,0,0,2.0903,Peridotite_rect,7,2.09,0,7,0,7,0,1,,,,,,,,,,,,
5e7d11401ae8680ca60eed9e,TCR,2024-06-10_14h49.56.077,LearnStrategy,2023.2.3,Linux x86_64,60.06366749,1,1,9,0.168459715,-0.010147691,1,0,0,0.8681,rock_grid_rect_2,4,16,-1,-1,0.868,0.356223339,-0.39052629,1,0,0,3.0655,Pumice_rect,8,3.066,0,8,0,8,0,1,,,,,,,,,,,,
