participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.043518519,0.090740741,1,0,0,2.5807,Obsidian_10,5,10,4,5,2.581,-0.375,-0.400925926,1,0,0,3.8956,Obsidian_rect,5,3.896,1,0,0,0,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.233333333,0.088888889,1,0,0,3.3456,Diorite_13,3,13,4,3,3.346,0.435185185,-0.416666667,1,0,0,3.4757,Pumice_rect,8,3.476,0,1,0,1,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.088888889,-0.260185185,1,0,0,4.38,Andesite_03,1,03,2,4,4.38,-0.088888889,-0.260185185,1,0,0,1.1619,Basalt_rect,2,1.162,0,2,0,2,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.386111111,-0.410185185,1,0,0,4.636,Pegmatite_10,6,10,1,2,4.636,0.052777778,-0.394444444,1,0,0,2.4543,Peridotite_rect,7,2.454,0,3,0,3,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.37037037,0.253703704,1,0,0,2.7054,Gabbro_12,4,12,5,2,2.705,0.450925926,-0.240740741,1,0,0,2.1187,Gabbro_rect,4,2.119,1,4,0,4,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.076851852,0.248148148,1,0,0,2.6558,Pumice_09,8,09,5,4,2.656,0.384259259,-0.39537037,1,0,0,1.2463,Pumice_rect,8,1.246,1,5,0,5,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.543518519,-0.405555556,1,0,0,2.4756,Peridotite_13,7,13,1,1,2.476,0.207407407,-0.398148148,1,0,0,3.0335,Peridotite_rect,7,3.034,1,6,0,6,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.409259259,-0.085185185,1,0,0,2.2858,Pegmatite_11,6,11,3,7,2.286,0.128703704,-0.266666667,1,0,0,1.8858,Diorite_rect,3,1.886,0,7,0,7,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.251851852,0.393518519,1,0,0,2.8005,Peridotite_04,7,04,6,6,2.8,-0.153703704,-0.410185185,1,0,0,1.9853,Pegmatite_rect,6,1.985,0,8,0,8,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,-0.575,0.427777778,1,0,0,3.4407,Pegmatite_12,6,12,6,1,3.441,-0.413888889,-0.230555556,1,0,0,3.4966,Andesite_rect,1,3.497,0,9,0,9,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,0.244444444,0.248148148,1,0,0,1.9748,Andesite_07,1,07,5,6,1.975,-0.099074074,-0.228703704,1,0,0,3.4838,Basalt_rect,2,3.484,0,10,0,10,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,-0.373148148,-0.226851852,1,0,0,1.7332,Pumice_02,8,02,2,2,1.733,0.376851852,-0.396296296,1,0,0,1.8511,Pumice_rect,8,1.851,1,11,0,11,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.080555556,-0.247222222,1,0,0,4.5079,Gabbro_13,4,13,2,5,4.508,-0.144444444,-0.265740741,1,0,0,1.5007,Basalt_rect,2,1.501,0,12,0,12,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,-0.424074074,0.417592593,1,0,0,3.3942,Pumice_16,8,16,6,2,3.394,0.150925926,-0.246296296,1,0,0,1.666,Diorite_rect,3,1.666,0,13,0,13,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.531481481,0.232407407,1,0,0,2.4344,Gabbro_01,4,01,5,8,2.434,-0.175,-0.242592593,1,0,0,2.5714,Basalt_rect,2,2.571,0,14,0,14,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,0.517592593,0.435185185,1,0,0,3.2548,Peridotite_08,7,08,6,8,3.255,0.133333333,-0.228703704,1,0,0,1.6461,Diorite_rect,3,1.646,0,15,0,15,0,1,,,,,,,,,,,,,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,3,02,,,,,,,,,,,4,6.14,0,,,,,,0.387962963,-0.242592593,1,0,0,6.1398,Gabbro_rect,0,0,0,0,1,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,2,14,,,,,,,,,,,2,2.28,1,,,,,,-0.167592593,-0.260185185,1,0,0,2.2803,Basalt_rect,1,0,1,0,1,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,6,06,,,,,,,,,,,4,4.678,0,,,,,,0.371296296,-0.262962963,1,0,0,4.6776,Gabbro_rect,2,0,2,0,1,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,8,10,,,,,,,,,,,8,1.257,1,,,,,,0.366666667,-0.387962963,1,0,0,1.2572,Pumice_rect,3,0,3,0,1,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,3,11,,,,,,,,,,,1,2.709,0,,,,,,-0.386111111,-0.266666667,1,0,0,2.7091,Andesite_rect,4,0,4,0,1,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,1,10,,,,,,,,,,,8,1.898,0,,,,,,0.4,-0.389814815,1,0,0,1.8978,Pumice_rect,5,0,5,0,1,
5e9f3f09ccc75a0c345e4845,SCN,2024-06-11_13h12.59.099,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,4,09,,,,,,,,,,,5,2.983,0,,,,,,-0.382407407,-0.407407407,1,0,0,2.9829,Obsidian_rect,6,0,6,0,1,
