participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,1,0.049074131,-0.008333333,1,0,0,2.7088,rock_grid_rect_2,7,04,-1,-1,2.709,0.124074131,-0.390740797,1,0,0,19.9077,Peridotite_rect,7,19.908,1,0,0,0,0,1,,,,,,,,,,,,,
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,2,0.063888889,-0.02129631,1,0,0,3.0219,rock_grid_rect_2,3,15,-1,-1,3.022,-0.156481425,-0.252777778,1,0,0,7.7443,Basalt_rect,2,7.744,0,1,0,1,0,1,,,,,,,,,,,,,
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,3,0.078703732,0.004629601,1,0,0,2.3664,rock_grid_rect_2,3,12,-1,-1,2.366,-0.111111111,-0.250925954,1,0,0,12.1868,Basalt_rect,2,12.187,0,2,0,2,0,1,,,,,,,,,,,,,
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,4,0.027777778,-0.001851866,1,0,0,1.4598,rock_grid_rect_2,6,07,-1,-1,1.46,0.425925954,-0.253703732,1,0,0,7.6941,Gabbro_rect,4,7.694,0,3,0,3,0,1,,,,,,,,,,,,,
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,5,0.023148176,-0.005555556,1,0,0,1.8749,rock_grid_rect_2,1,16,-1,-1,1.875,-0.053703647,-0.397222222,1,0,0,8.8347,Pegmatite_rect,6,8.835,0,4,0,4,0,1,,,,,,,,,,,,,
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,6,0.004629686,0.004629601,1,0,0,1.1218,rock_grid_rect_2,7,12,-1,-1,1.122,0.096296353,-0.25648151,1,0,0,6.6838,Diorite_rect,3,6.684,0,5,0,5,0,1,,,,,,,,,,,,,
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,7,0.027777778,-0.008333333,1,0,0,1.0573,rock_grid_rect_2,8,16,-1,-1,1.057,0.343518575,-0.404629686,1,0,0,2.2261,Pumice_rect,8,2.226,1,6,0,6,0,1,,,,,,,,,,,,,
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,8,-0.029629601,0.002777778,1,0,0,1.4603,rock_grid_rect_2,5,10,-1,-1,1.46,-0.385185157,-0.412037065,1,0,0,3.5242,Obsidian_rect,5,3.524,1,7,0,7,0,1,,,,,,,,,,,,,
5ee0e5063f7f190b2b3f3b14,TCR,2024-06-25_11h40.04.009,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,9,-0.020370314,0.016666667,1,0,0,1.4019,rock_grid_rect_2,6,10,-1,-1,1.402,0.1,-0.413888889,1,0,0,4.173,Peridotite_rect,7,4.173,0,8,0,8,0,1,,,,,,,,,,,,,
