participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.060011609,-0.246296374,1,0,0,8.6318,Obsidian_02,5,02,2,5,8.632,7,12,-0.343692144,-0.415740776,1,0,0,5.2721,Obsidian_rect,5,5.272,1,0,0,0,0,1,,,,,,,,,,,,,
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.275752385,0.108333333,1,0,0,1.9531,Andesite_07,1,07,4,6,1.953,1,07,0.173900477,-0.248148155,1,0,0,3.6837,Diorite_rect,3,3.684,0,1,0,1,0,1,,,,,,,,,,,,,
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.244270833,0.420370372,1,0,0,3.8611,Basalt_09,2,09,6,6,3.861,8,15,-0.109432793,-0.261111132,1,0,0,3.0065,Basalt_rect,2,3.006,1,2,0,2,0,1,,,,,,,,,,,,,
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.250173632,0.25,1,0,0,2.2125,Peridotite_14,7,14,5,3,2.212,7,14,0.375752385,-0.236111132,1,0,0,5.5951,Gabbro_rect,4,5.595,0,3,0,3,0,1,,,,,,,,,,,,,
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.11035881,-0.398148155,1,0,0,3.3106,Diorite_08,3,08,1,4,3.311,2,09,-0.13535881,-0.25370369,1,0,0,4.066,Basalt_rect,2,4.066,0,4,0,4,0,1,,,,,,,,,,,,,
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.041493034,-0.070370356,1,0,0,1.3607,Diorite_13,3,13,3,5,1.361,3,13,0.347048569,-0.382407443,1,0,0,5.7977,Pumice_rect,8,5.798,0,5,0,5,0,1,,,,,,,,,,,,,
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.408159765,0.065740712,1,0,0,3.5822,Gabbro_01,4,01,4,7,3.582,4,01,-0.350173632,-0.260185242,1,0,0,2.3809,Andesite_rect,1,2.381,0,6,0,6,0,1,,,,,,,,,,,,,
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.241840299,0.368518519,1,0,0,2.1367,Pegmatite_13,6,13,6,3,2.137,6,13,0.309085719,-0.25370369,1,0,0,3.9948,Gabbro_rect,4,3.995,0,7,0,7,0,1,,,,,,,,,,,,,
5ee1be444c9d75206ce5aa92,SCR,2024-06-24_18h46.16.920,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.247395833,-0.220370356,1,0,0,1.3052,Gabbro_14,4,14,2,3,1.305,4,14,0.402604167,-0.380555534,1,0,0,2.7409,Pumice_rect,8,2.741,0,8,0,8,0,1,,,,,,,,,,,,,
