participant,condition,date,expName,psychopyVersion,OS,frameRate,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,train_trials.order,row,col,cat,token
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,,,,
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,1,1,3,09
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,1,2,1,10
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,1,3,2,01
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,1,4,3,10
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,1,5,2,02
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,1,6,3,15
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,1,7,8,13
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,1,8,6,07
5f0fa5d6f1db6e19c7702e0d,SCN,2024-06-11_12h48.46.100,LearnStrategy,2023.2.3,MacIntel,58.82352941,0,0,0,0,1,8,0,0,0,0,1,15,2,1,1,14
