participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.065555556,-0.007777778,1,0,0,1.7082,rock_grid_rect_2,8,06,-1,-1,1.708,0.392222222,-0.41,1,0,0,3.8211,Pumice_rect,8,3.821,1,0,0,0,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.024444444,-0.003333333,1,0,0,1.0584,rock_grid_rect_2,1,05,-1,-1,1.058,0.341111111,-0.257777778,1,0,0,16.4451,Gabbro_rect,4,16.445,0,1,0,1,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.086666667,-0.004444444,1,0,0,1.1752,rock_grid_rect_2,6,05,-1,-1,1.175,-0.391111111,-0.388888889,1,0,0,8.2617,Obsidian_rect,5,8.262,0,2,0,2,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.045555556,-0.002222222,1,0,0,1.2584,rock_grid_rect_2,4,08,-1,-1,1.258,-0.388888889,-0.415555556,1,0,0,9.6767,Obsidian_rect,5,9.677,0,3,0,3,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.025555556,-0.015555556,1,0,0,1.183,rock_grid_rect_2,5,16,-1,-1,1.183,-0.421111111,-0.404444444,1,0,0,7.9619,Obsidian_rect,5,7.962,1,4,0,4,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.001111111,0.007777778,1,0,0,0.841,rock_grid_rect_2,5,05,-1,-1,0.841,0.075555556,-0.241111111,1,0,0,14.3029,Diorite_rect,3,14.303,0,5,0,5,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.063333333,0.007777778,1,0,0,0.8081,rock_grid_rect_2,1,06,-1,-1,0.808,-0.362222222,-0.267777778,1,0,0,15.0457,Andesite_rect,1,15.046,1,6,0,6,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.037777778,-0.013333333,1,0,0,0.959,rock_grid_rect_2,3,09,-1,-1,0.959,-0.098888889,-0.408888889,1,0,0,21.5126,Pegmatite_rect,6,21.513,0,7,0,7,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.01,-0.002222222,1,0,0,1.0421,rock_grid_rect_2,8,14,-1,-1,1.042,0.464444444,-0.413333333,1,0,0,2.2286,Pumice_rect,8,2.229,1,8,0,8,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.006666667,-0.004444444,1,0,0,1.2316,rock_grid_rect_2,2,14,-1,-1,1.232,0.396666667,-0.404444444,1,0,0,16.1127,Pumice_rect,8,16.113,0,9,0,9,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,0.005555556,-0.004444444,1,0,0,0.942,rock_grid_rect_2,7,10,-1,-1,0.942,-0.422222222,-0.252222222,1,0,0,30.5626,Andesite_rect,1,30.563,0,10,0,10,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0,-0.006666667,1,0,0,1.075,rock_grid_rect_2,6,16,-1,-1,1.075,-0.116666667,-0.385555556,1,0,0,37.6959,Pegmatite_rect,6,37.696,1,11,0,11,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,-0.023333333,-0.005555556,1,0,0,3.6589,rock_grid_rect_2,2,02,-1,-1,3.659,-0.367777778,-0.234444444,1,0,0,17.5292,Andesite_rect,1,17.529,0,12,0,12,0,1,,,,,,,,,,,,,
5f627a1e4b807f1aa7e35280,TCR,2024-06-11_12h09.40.189,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,0.07,0.004444444,1,0,0,1.3089,rock_grid_rect_2,7,12,-1,-1,1.309,0.111111111,-0.252222222,1,0,0,13.4957,Diorite_rect,3,13.496,0,13,0,13,0,1,,,,,,,,,,,,,
